ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{2D769257-9151-42A9-9D98-BD6535FA83FD},173000,1995-01-09,UB7 7AG,D,,F,35,,FRAYS AVENUE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,558.064516129032,9.0,310.0,76.0,1966.0,UB7,1995,16512,6,West Drayton,0.66581,53900,6,1b,2.68451232899074,0.0
{E551DA64-E96F-40F9-83F9-24A530746C92},69500,1995-01-20,UB7 7NU,T,,F,11,,MONEY LANE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,1287.03703703704,4.0,54.0,43.0,1929.0,UB7,1995,15013,6,West Drayton,0.951436,53900,5,1a,2.42839248336273,0.0
{1623FCAC-65E0-4103-8B3C-6E8818FFAF65},85000,1995-01-23,UB7 7NU,S,,F,30,,MONEY LANE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,1118.42105263158,5.0,76.0,42.0,1949.0,UB7,1995,15013,6,West Drayton,0.951436,53900,5,1a,2.42839248336273,0.0
{2A289E9C-E327-CDC8-E050-A8C063054829},42500,1995-01-27,UB7 7LZ,F,,L,40,,MERRIVALE MEWS,,WEST DRAYTON,HILLINGDON,GREATER LONDON,1062.5,2.0,40.0,76.0,1995.0,UB7,1995,9125,6,West Drayton,0.47385,51900,3,3,9.23754657657712,0.0
{4C9FB8A0-D5AB-4950-BA23-0CBAFE4D40CB},90000,1995-01-27,UB7 7AW,D,,F,94A,,FAIRWAY AVENUE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,918.367346938776,6.0,98.0,70.0,1975.0,UB7,1995,16512,6,West Drayton,0.681374,53900,6,0,0.0,0.0
{CF4EBD1C-EA77-4B47-9E46-9A20915C75A5},65000,1995-01-27,UB7 8LG,T,,F,29,,CASTLE AVENUE,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,755.813953488372,4.0,86.0,64.0,1966.0,UB7,1995,8365,6,West Drayton,0.666711,53800,3,0,0.0,0.0
{2A289E9D-BA66-CDC8-E050-A8C063054829},30000,1995-01-27,UB7 9PA,F,,L,21,,HAWTHORNE CRESCENT,,WEST DRAYTON,HILLINGDON,GREATER LONDON,1063.4526763559,1.0,28.21,45.0,1990.0,UB7,1995,8763,6,West Drayton,0.657682,55000,3,2,7.11436726546929,0.0
{011B9559-E5E8-4E6F-B99D-47BF894FC4A1},58000,1995-02-01,UB7 9BZ,T,,F,46,,WARWICK ROAD,WEST DRAYTON,WEST DRAYTON,HILLINGDON,GREATER LONDON,1049.20405209841,4.0,55.28,57.0,1949.0,UB7,1995,13991,6,West Drayton,0.13024,53900,5,3,12.500145974692,-6968.1805589491
{2A289E9D-85CE-CDC8-E050-A8C063054829},45000,1995-02-03,UB7 7ST,F,,L,20,,BETJEMAN COURT,,WEST DRAYTON,HILLINGDON,GREATER LONDON,1168.83116883117,2.0,38.5,63.0,1995.0,UB7,1995,9125,6,West Drayton,0.283583,51900,3,3,11.55717913287,-6968.1805589491
{2A289E9E-49DF-CDC8-E050-A8C063054829},41000,1995-02-03,UB7 7UL,F,,L,29,,MAGNOLIA STREET,,WEST DRAYTON,HILLINGDON,GREATER LONDON,493.975903614458,4.0,83.0,71.0,1966.0,UB7,1995,9202,6,West Drayton,1.51864,57500,3,1b,3.20877872254179,-6968.1805589491
