ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{3619BBF1-BE59-4394-AE30-E9B19EEB32E1},115950,1999-10-29 00:00,UB8 2XX,F,Y,L,15,,MILL BRIDGE PLACE,,UXBRIDGE,HILLINGDON,GREATER LONDON,2047.13983050847,1999.0,1999-10-29,F,L,115950.0,UB8 2XX,E09000017,{3619BBF1-BE59-4394-AE30-E9B19EEB32E1},20134425.0,56.64,3.0,11.0,68.0,79.0,England and Wales: 1996-2002,2047.13983050847,3.0,56.64,68.0,England and Wales: 1996-2002,UB8
{A22292E2-960E-4981-9DB9-33A32A8FFDC3},70000,1999-01-15 00:00,UB8 1NU,F,N,L,HEATH COURT,8,PARK ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON,1166.66666666667,1999.0,1999-01-15,F,L,70000.0,UB8 1NU,E09000017,{A22292E2-960E-4981-9DB9-33A32A8FFDC3},20106909.0,60.0,2.0,11.0,61.0,74.0,England and Wales: 1900-1929,1166.66666666667,2.0,60.0,61.0,England and Wales: 1900-1929,UB8
{2F93DB14-4CC7-481E-BB72-DF302910D4FD},135000,1999-02-26 00:00,UB8 2PS,S,N,F,8,,ELTHORNE ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON,1433.12101910828,1999.0,1999-02-26,S,F,135000.0,UB8 2PS,E09000017,{2F93DB14-4CC7-481E-BB72-DF302910D4FD},20087791.0,94.2,5.0,11.0,44.0,49.0,England and Wales: before 1900,1433.12101910828,5.0,94.2,44.0,England and Wales: before 1900,UB8
{7AA92999-DFB0-4CE9-A576-F6201C28A2ED},151000,1999-10-11 00:00,UB8 1PZ,S,N,F,2,,SALTHILL CLOSE,,UXBRIDGE,HILLINGDON,GREATER LONDON,1535.64527611105,1999.0,1999-10-11,S,F,151000.0,UB8 1PZ,E09000017,{7AA92999-DFB0-4CE9-A576-F6201C28A2ED},20141187.0,98.33,6.0,11.0,70.0,78.0,England and Wales: 1967-1975,1535.64527611105,6.0,98.33,70.0,England and Wales: 1967-1975,UB8
{199CFCDF-645A-4394-8FCD-E647C380F059},66500,1999-06-04 00:00,UB8 2PF,F,N,L,44,,CHILTERN VIEW ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON,977.941176470588,1999.0,1999-06-04,F,L,66500.0,UB8 2PF,E09000017,{199CFCDF-645A-4394-8FCD-E647C380F059},20168552.0,68.0,4.0,11.0,45.0,61.0,England and Wales: 1900-1929,977.941176470588,4.0,68.0,45.0,England and Wales: 1900-1929,UB8
{BEE51380-BAA9-45DD-A474-F627B23734B1},85000,1999-12-06 00:00,UB8 3RT,T,N,F,17,,IVANHOE CLOSE,,UXBRIDGE,HILLINGDON,GREATER LONDON,590.277777777778,1999.0,1999-12-06,T,F,85000.0,UB8 3RT,E09000017,{BEE51380-BAA9-45DD-A474-F627B23734B1},20150652.0,144.0,5.0,11.0,66.0,82.0,England and Wales: 1967-1975,590.277777777778,5.0,144.0,66.0,England and Wales: 1967-1975,UB8
{69FBD799-91D8-42AB-84BD-F629285C1D4C},79000,1999-08-20 00:00,UB8 3JD,F,N,L,323,,HARLINGTON ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON,1144.92753623188,1999.0,1999-08-20,F,L,79000.0,UB8 3JD,E09000017,{69FBD799-91D8-42AB-84BD-F629285C1D4C},20138775.0,69.0,6.0,11.0,51.0,74.0,England and Wales: 1950-1966,1144.92753623188,6.0,69.0,51.0,England and Wales: 1950-1966,UB8
{FB5F086A-7940-430D-8191-29180E40AAA2},109500,1999-08-27 00:00,UB8 2QD,T,N,F,92,,COWLEY MILL ROAD,,UXBRIDGE,HILLINGDON,GREATER LONDON,1207.14364458163,1999.0,1999-08-27,T,F,109500.0,UB8 2QD,E09000017,{FB5F086A-7940-430D-8191-29180E40AAA2},20109912.0,90.71,6.0,12.0,51.0,61.0,England and Wales: before 1900,1207.14364458163,6.0,90.71,51.0,England and Wales: before 1900,UB8
{FABC61A6-2BE4-4FC4-9E06-7E877823AEB2},66500,1999-09-29 00:00,UB8 3TJ,S,N,L,29,,NINE ELMS AVENUE,,UXBRIDGE,HILLINGDON,GREATER LONDON,985.988583290088,1999.0,1999-09-29,S,L,66500.0,UB8 3TJ,E09000017,{FABC61A6-2BE4-4FC4-9E06-7E877823AEB2},20095917.0,67.445,3.0,12.0,62.0,70.0,England and Wales: 1950-1966,985.988583290088,3.0,67.445,62.0,England and Wales: 1950-1966,UB8
{5C8391E5-B7E6-44F6-ACE2-30460CB0180D},52000,1999-10-29 00:00,UB8 2LL,F,N,L,87,,VERONA CLOSE,,UXBRIDGE,HILLINGDON,GREATER LONDON,1925.92592592593,1999.0,1999-10-29,F,L,52000.0,UB8 2LL,E09000017,{5C8391E5-B7E6-44F6-ACE2-30460CB0180D},20157862.0,27.0,1.0,11.0,72.0,78.0,England and Wales: 1983-1990,1925.92592592593,1.0,27.0,72.0,England and Wales: 1983-1990,UB8
