ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{8A12DD07-DACF-4A39-BE67-12EAE631563A},77000,1995-01-03,W12 0AB,T,,F,205,,WULFSTAN STREET,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1076.92307692308,3.0,71.5,46.0,1929.0,W12,1995,5979,2,East Acton,0.251799,48300,2,5,21.8543512052033,0.0
{8C77CAE7-8F54-4FB7-B1C3-E2E5B08429B7},85000,1995-01-06,W12 0QP,S,,F,23,,HEMLOCK ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,765.765765765766,5.0,111.0,64.0,1949.0,W12,1995,4238,2,East Acton,0.505383,58100,2,2,5.39459581706359,0.0
{2A289E9C-E0B1-CDC8-E050-A8C063054829},50000,1995-01-06,W12 9JW,F,,L,22B,,GOODWIN ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1381.21546961326,2.0,36.2,28.0,1900.0,W12,1995,7701,2,Goldhawk Road,0.655759,55900,3,3,11.8767250262247,0.0
{2A289E9E-6FAC-CDC8-E050-A8C063054829},48000,1995-01-06,W12 8BQ,F,,L,23,FLAT C,STOWE ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1043.47826086957,2.0,46.0,65.0,1900.0,W12,1995,6802,2,Goldhawk Road,0.366292,54900,3,4,19.3351785018662,0.0
{27CF0B5A-7B8A-4C93-A0BC-B4C08221C5B2},52500,1995-01-12,W12 8DL,F,,L,PENNARD MANSIONS,FLAT 1,GOLDHAWK ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1272.72727272727,2.0,41.25,30.0,1929.0,W12,1995,7925,2,Goldhawk Road,0.147194,54900,3,6b,42.5113884719359,0.0
{495D1872-5C9B-4804-A0EF-5FF67AC11CB0},84500,1995-01-16,W12 0JE,T,,F,85,,OAKLANDS GROVE,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,734.782608695652,6.0,115.0,57.0,1929.0,W12,1995,15773,2,Shepherds Bush Market,0.738339,58100,5,2,8.8815517784492,0.0
{E4AD8828-15B3-46C0-B56A-198DD3F91458},112048,1995-01-16,W12 0PG,T,,F,13,,THORPEBANK ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1542.93583034977,5.0,72.62,55.0,1900.0,W12,1995,9370,2,Shepherds Bush Market,0.839526,58100,3,3,11.8977067615944,0.0
{2A289E9F-7180-CDC8-E050-A8C063054829},42000,1995-01-20,W12 0NG,F,,L,71,,OLLGAR CLOSE,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,840.0,2.0,50.0,59.0,1982.0,W12,1995,9420,2,East Acton,1.04442,58100,3,3,11.2138407043913,0.0
{E52AC51D-1A2A-434D-BB41-08FA04084AA1},100000,1995-01-20,W12 9LG,T,,F,19,,AYLMER ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1449.27536231884,4.0,69.0,67.0,1929.0,W12,1995,14141,2,Turnham Green,0.791334,66500,5,1b,2.54347717905035,0.0
{00CEC8E3-E850-4A5A-8CE6-7CC023F59276},92500,1995-01-20,W12 8JJ,F,,L,5,FIRST FLOOR FLAT,COVERDALE ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,1589.3470790378,3.0,58.2,68.0,1900.0,W12,1995,7925,2,Shepherds Bush Market,0.160886,54900,3,6a,39.8942113158143,0.0
{2A289E9C-E27F-CDC8-E050-A8C063054829},35500,1995-01-20,W12 8HQ,F,,L,SHACKLETON COURT,FLAT 33,SCOTTS ROAD,,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,465.573770491803,3.0,76.25,68.0,1966.0,W12,1995,5966,2,Goldhawk Road,0.157847,54900,2,4,15.6819882410404,0.0
{01C99531-D736-41F9-A2FD-8DC694425083},86000,1995-01-25,W12 7AW,S,,F,293,,WESTWAY,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,2205.12820512821,4.0,39.0,65.0,1949.0,W12,1995,5098,2,White City,0.596905,48300,2,2,9.28328891716804,0.0
