ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{04BA9712-E1AD-453D-A377-881B1A48D8C3},465000,1998-08-28 00:00,W1D 4HZ,F,Y,L,12,FLAT 12,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4960.52912310646,1998.0,1998-08-28,F,L,465000.0,W1D 4HZ,E09000033,{04BA9712-E1AD-453D-A377-881B1A48D8C3},21888060.0,93.74,3.0,12.0,80.0,82.0,England and Wales: 2007 onwards,4960.52912310646,3.0,93.74,80.0,England and Wales: 2007 onwards,W1D
{1DE84BEC-C8E7-4925-A73D-888DCFFC4842},280000,1998-04-20 00:00,W1D 3DD,F,N,L,10,FLAT 14,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2918.18655549765,1998.0,1998-04-20,F,L,280000.0,W1D 3DD,E09000033,{1DE84BEC-C8E7-4925-A73D-888DCFFC4842},21808864.0,95.95,2.0,11.0,74.0,80.0,England and Wales: before 1900,2918.18655549765,2.0,95.95,74.0,England and Wales: before 1900,W1D
{D1D48CAB-CA21-4112-BCCC-5712EA2BE8D6},202000,1998-03-27 00:00,W1D 5ER,F,N,L,"NASSAU HOUSE,, 122",FLAT 3,SHAFTESBURY AVENUE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2805.55555555556,1998.0,1998-03-27,F,L,202000.0,W1D 5ER,E09000033,{D1D48CAB-CA21-4112-BCCC-5712EA2BE8D6},21877826.0,72.0,4.0,12.0,61.0,76.0,England and Wales: before 1900,2805.55555555556,4.0,72.0,61.0,England and Wales: before 1900,W1D
{CFF2B84B-EF5B-46BB-8BB6-1C9D22A76CDE},277875,1998-09-01 00:00,W1D 4HZ,F,N,L,12,FLAT 7,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4607.44486818106,1998.0,1998-09-01,F,L,277875.0,W1D 4HZ,E09000033,{CFF2B84B-EF5B-46BB-8BB6-1C9D22A76CDE},21843248.0,60.31,2.0,11.0,81.0,84.0,England and Wales: 1996-2002,4607.44486818106,2.0,60.31,81.0,England and Wales: 1996-2002,W1D
{E2997B64-69E1-4F2C-81E5-0C8C93FDEBB3},250000,1998-03-11 00:00,W1D 5EQ,F,N,L,"EXETER MANSIONS, 106",FLAT 10,SHAFTESBURY AVENUE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2475.24752475248,1998.0,1998-03-11,F,L,250000.0,W1D 5EQ,E09000033,{E2997B64-69E1-4F2C-81E5-0C8C93FDEBB3},21858490.0,101.0,5.0,11.0,63.0,70.0,England and Wales: before 1900,2475.24752475248,5.0,101.0,63.0,England and Wales: before 1900,W1D
{9D053FA3-685B-4540-9AAC-25E6577E273D},365000,1998-08-28 00:00,W1D 4HZ,F,Y,L,12,FLAT 5,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4244.18604651163,1998.0,1998-08-28,F,L,365000.0,W1D 4HZ,E09000033,{9D053FA3-685B-4540-9AAC-25E6577E273D},21817539.0,86.0,3.0,11.0,77.0,82.0,England and Wales: 1991-1995,4244.18604651163,3.0,86.0,77.0,England and Wales: 1991-1995,W1D
{F715E851-8F9C-4C43-8CBF-D3C8C45A4E60},250000,1998-05-22 00:00,W1D 5BL,F,N,L,52 - 53,FLAT 3,DEAN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4310.34482758621,1998.0,1998-05-22,F,L,250000.0,W1D 5BL,E09000033,{F715E851-8F9C-4C43-8CBF-D3C8C45A4E60},21938872.0,58.0,1.0,11.0,53.0,80.0,England and Wales: 1950-1966,4310.34482758621,1.0,58.0,53.0,England and Wales: 1950-1966,W1D
{4B2ADB50-6C33-4FF7-ACD7-CAD47EBF6C68},430000,1998-10-28 00:00,W1D 4HZ,F,N,L,12,FLAT 4,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4387.75510204082,1998.0,1998-10-28,F,L,430000.0,W1D 4HZ,E09000033,{4B2ADB50-6C33-4FF7-ACD7-CAD47EBF6C68},21888124.0,98.0,3.0,11.0,76.0,81.0,England and Wales: 1996-2002,4387.75510204082,3.0,98.0,76.0,England and Wales: 1996-2002,W1D
{2167C590-FA80-48C7-861D-B755448EE108},289100,1998-08-28 00:00,W1D 4HZ,F,Y,L,12,FLAT 15,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4904.98812351544,1998.0,1998-08-28,F,L,289100.0,W1D 4HZ,E09000033,{2167C590-FA80-48C7-861D-B755448EE108},21820075.0,58.94,2.0,11.0,75.0,79.0,England and Wales: 1996-2002,4904.98812351544,2.0,58.94,75.0,England and Wales: 1996-2002,W1D
{8DEB5AE6-5D04-4847-9A3E-CEFF0835FA34},190000,1998-11-23 00:00,W1D 5BL,F,N,L,52 - 53,FLAT 2,DEAN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3220.33898305085,1998.0,1998-11-23,F,L,190000.0,W1D 5BL,E09000033,{8DEB5AE6-5D04-4847-9A3E-CEFF0835FA34},21938380.0,59.0,2.0,11.0,62.0,81.0,England and Wales: 1950-1966,3220.33898305085,2.0,59.0,62.0,England and Wales: 1950-1966,W1D
{A23F90E1-644D-45DA-A600-9732E719C0B2},120000,1998-12-11 00:00,W1D 6HW,F,N,L,55,FLAT 2,OLD COMPTON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3726.70807453416,1998.0,1998-12-11,F,L,120000.0,W1D 6HW,E09000033,{A23F90E1-644D-45DA-A600-9732E719C0B2},21876761.0,32.2,1.0,12.0,82.0,85.0,England and Wales: before 1900,3726.70807453416,1.0,32.2,82.0,England and Wales: before 1900,W1D
{AEBA5873-73BA-48CC-B704-439D23D51B84},282750,1998-09-01 00:00,W1D 4HZ,F,N,L,12,FLAT 11,BOURCHIER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4921.67101827676,1998.0,1998-09-01,F,L,282750.0,W1D 4HZ,E09000033,{AEBA5873-73BA-48CC-B704-439D23D51B84},21838119.0,57.45,2.0,12.0,83.0,85.0,England and Wales: 1996-2002,4921.67101827676,2.0,57.45,83.0,England and Wales: 1996-2002,W1D
