ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{61BA809E-2204-47B2-B2E5-6150A2E56212},325000,2000-02-25 00:00,W1D 4HZ,F,N,L,12,FLAT 11,BOURCHIER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5657.09312445605,2000.0,2000-02-25,F,L,325000.0,W1D 4HZ,E09000033,{61BA809E-2204-47B2-B2E5-6150A2E56212},21838119.0,57.45,2.0,12.0,83.0,85.0,England and Wales: 1996-2002,5657.09312445605,2.0,57.45,83.0,England and Wales: 1996-2002,W1D
{8353AF0D-A250-41FA-BF9C-7AB4B6D3D1CF},315000,2000-03-03 00:00,W1D 4HZ,F,N,L,12,FLAT 7,BOURCHIER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5223.01442546841,2000.0,2000-03-03,F,L,315000.0,W1D 4HZ,E09000033,{8353AF0D-A250-41FA-BF9C-7AB4B6D3D1CF},21843248.0,60.31,2.0,11.0,81.0,84.0,England and Wales: 1996-2002,5223.01442546841,2.0,60.31,81.0,England and Wales: 1996-2002,W1D
{FFA6BE7B-93E7-46ED-A487-BF598EF533F8},226493,2000-09-07 00:00,W1D 5EW,F,N,L,"EGMONT HOUSE, 116",FLAT 2,SHAFTESBURY AVENUE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4529.86,2000.0,2000-09-07,F,L,226493.0,W1D 5EW,E09000033,{FFA6BE7B-93E7-46ED-A487-BF598EF533F8},21885063.0,50.0,2.0,12.0,44.0,67.0,England and Wales: before 1900,4529.86,2.0,50.0,44.0,England and Wales: before 1900,W1D
{3A08AA8F-044B-4938-9BD3-B098CE8E8075},320000,2000-11-10 00:00,W1D 4HZ,F,N,L,12,FLAT 7,BOURCHIER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5305.91941634886,2000.0,2000-11-10,F,L,320000.0,W1D 4HZ,E09000033,{3A08AA8F-044B-4938-9BD3-B098CE8E8075},21843248.0,60.31,2.0,11.0,81.0,84.0,England and Wales: 1996-2002,5305.91941634886,2.0,60.31,81.0,England and Wales: 1996-2002,W1D
{9573F922-0D77-4BF8-BB14-9B7197F9509D},405000,2000-03-03 00:00,W1D 3DD,F,N,L,10,FLAT 28,RICHMOND MEWS,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2120.41884816754,2000.0,2000-03-03,F,L,405000.0,W1D 3DD,E09000033,{9573F922-0D77-4BF8-BB14-9B7197F9509D},21913756.0,191.0,4.0,11.0,84.0,84.0,England and Wales: 1991-1995,2120.41884816754,4.0,191.0,84.0,England and Wales: 1991-1995,W1D
{B30A143F-0312-4575-9B8B-57F6D4BDA6CE},275000,2000-09-21 00:00,W1D 5EQ,F,N,L,"EXETER MANSIONS, 106",FLAT 5,SHAFTESBURY AVENUE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4104.4776119403,2000.0,2000-09-21,F,L,275000.0,W1D 5EQ,E09000033,{B30A143F-0312-4575-9B8B-57F6D4BDA6CE},21861545.0,67.0,4.0,12.0,41.0,81.0,England and Wales: before 1900,4104.4776119403,4.0,67.0,41.0,England and Wales: before 1900,W1D
{63E80890-6438-4635-A8FE-02A9F7AF0F80},132000,2000-08-11 00:00,W1D 3AH,F,N,L,16,FLAT 2,BATEMAN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5154.23662631784,2000.0,2000-08-11,F,L,132000.0,W1D 3AH,E09000033,{63E80890-6438-4635-A8FE-02A9F7AF0F80},21894642.0,25.61,2.0,11.0,69.0,70.0,England and Wales: before 1900,5154.23662631784,2.0,25.61,69.0,England and Wales: before 1900,W1D
{00FE0AFA-72CF-44B0-AF3A-0CF1A17A2055},165000,2000-01-28 00:00,W1D 4TH,F,N,L,14,FLAT 2,OLD COMPTON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4024.39024390244,2000.0,2000-01-28,F,L,165000.0,W1D 4TH,E09000033,{00FE0AFA-72CF-44B0-AF3A-0CF1A17A2055},21925436.0,41.0,1.0,12.0,67.0,76.0,England and Wales: before 1900,4024.39024390244,1.0,41.0,67.0,England and Wales: before 1900,W1D
{85FED8C0-36D4-4802-8710-AF700D308FE5},187950,2000-09-04 00:00,W1D 3BJ,F,N,L,4,FLAT 1,CARLISLE STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4698.75,2000.0,2000-09-04,F,L,187950.0,W1D 3BJ,E09000033,{85FED8C0-36D4-4802-8710-AF700D308FE5},21899441.0,40.0,2.0,12.0,70.0,78.0,England and Wales: 1950-1966,4698.75,2.0,40.0,70.0,England and Wales: 1950-1966,W1D
{20979C47-A275-4A57-8627-A54B073E09A7},470000,2000-05-15 00:00,W1D 4HZ,F,N,L,12,FLAT 12,BOURCHIER STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5013.86814593557,2000.0,2000-05-15,F,L,470000.0,W1D 4HZ,E09000033,{20979C47-A275-4A57-8627-A54B073E09A7},21888060.0,93.74,3.0,12.0,80.0,82.0,England and Wales: 2007 onwards,5013.86814593557,3.0,93.74,80.0,England and Wales: 2007 onwards,W1D
{257BC525-2C7F-4E6D-897E-E549EDBE90CE},240000,2000-12-18 00:00,W1D 4TH,F,N,L,14,FLAT 8,OLD COMPTON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6857.14285714286,2000.0,2000-12-18,F,L,240000.0,W1D 4TH,E09000033,{257BC525-2C7F-4E6D-897E-E549EDBE90CE},21877386.0,35.0,2.0,11.0,61.0,77.0,England and Wales: 1900-1929,6857.14285714286,2.0,35.0,61.0,England and Wales: 1900-1929,W1D
{32FE12AA-B4CC-4E04-8AB2-9930BA71C492},190000,2000-02-17 00:00,W1D 4TG,F,N,L,10A,FLAT 7,OLD COMPTON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4130.4347826087,2000.0,2000-02-17,F,L,190000.0,W1D 4TG,E09000033,{32FE12AA-B4CC-4E04-8AB2-9930BA71C492},21852403.0,46.0,2.0,11.0,77.0,81.0,England and Wales: 1900-1929,4130.4347826087,2.0,46.0,77.0,England and Wales: 1900-1929,W1D
