ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{C0AECCE5-05F6-4407-8B99-571639299019},189000,1995-04-05 00:00,W1D 3DD,F,Y,L,10,FLAT 28,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,989.528795811518,1995.0,1995-04-05,F,L,189000.0,W1D 3DD,E09000033,{C0AECCE5-05F6-4407-8B99-571639299019},21913756.0,191.0,4.0,11.0,84.0,84.0,England and Wales: 1991-1995,989.528795811518,4.0,191.0,84.0,England and Wales: 1991-1995,W1D,1995
{46BC9CFB-A329-42D6-BEB2-DB9B5DA78660},135000,1995-02-08 00:00,W1D 3RY,F,N,L,22 - 25,FLAT 3,DEAN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2208.40831015868,1995.0,1995-02-08,F,L,135000.0,W1D 3RY,E09000033,{46BC9CFB-A329-42D6-BEB2-DB9B5DA78660},21829516.0,61.13,3.0,12.0,78.0,80.0,England and Wales: 1950-1966,2208.40831015868,3.0,61.13,78.0,England and Wales: 1950-1966,W1D,1995
{903E6B28-821F-472E-9C44-671E1F643CA6},205000,1995-08-08 00:00,W1D 3DD,F,N,L,10,FLAT 24,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2359.0333716916,1995.0,1995-08-08,F,L,205000.0,W1D 3DD,E09000033,{903E6B28-821F-472E-9C44-671E1F643CA6},21820579.0,86.9,3.0,11.0,79.0,82.0,England and Wales: 1930-1949,2359.0333716916,3.0,86.9,79.0,England and Wales: 1930-1949,W1D,1995
{426FE2C7-4826-470D-89E8-602EAE28708F},74500,1995-01-16 00:00,W1D 4TH,F,N,L,14,FLAT 1,OLD COMPTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2568.96551724138,1995.0,1995-01-16,F,L,74500.0,W1D 4TH,E09000033,{426FE2C7-4826-470D-89E8-602EAE28708F},21910422.0,29.0,2.0,11.0,40.0,72.0,England and Wales: 1900-1929,2568.96551724138,2.0,29.0,40.0,England and Wales: 1900-1929,W1D,1995
{39A5589F-B642-4F74-8F39-DA2CCB527829},129000,1995-03-13 00:00,W1D 3DD,F,Y,L,10,FLAT 23,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2202.41753738988,1995.0,1995-03-13,F,L,129000.0,W1D 3DD,E09000033,{39A5589F-B642-4F74-8F39-DA2CCB527829},21903754.0,58.572,2.0,11.0,80.0,82.0,England and Wales: before 1900,2202.41753738988,2.0,58.572,80.0,England and Wales: before 1900,W1D,1995
{0D5F5A0A-2F07-47EE-9265-A3DE84EBFB24},120000,1995-08-11 00:00,W1D 3DD,F,Y,L,10,FLAT 13,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2142.85714285714,1995.0,1995-08-11,F,L,120000.0,W1D 3DD,E09000033,{0D5F5A0A-2F07-47EE-9265-A3DE84EBFB24},21823082.0,56.0,2.0,11.0,84.0,86.0,England and Wales: 1996-2002,2142.85714285714,2.0,56.0,84.0,England and Wales: 1996-2002,W1D,1995
{EE67B206-70E0-44F7-9F87-C414C9229A8C},415000,1995-05-01 00:00,W1D 3DD,F,Y,L,10,FLAT 46,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1663.32665330661,1995.0,1995-05-01,F,L,415000.0,W1D 3DD,E09000033,{EE67B206-70E0-44F7-9F87-C414C9229A8C},21919356.0,249.5,3.0,11.0,82.0,86.0,England and Wales: 1996-2002,1663.32665330661,3.0,249.5,82.0,England and Wales: 1996-2002,W1D,1995
{2FA4E575-F141-4C0F-9D62-785AE04C3F88},190000,1995-05-16 00:00,W1D 3DD,F,Y,L,10,FLAT 14,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1980.19801980198,1995.0,1995-05-16,F,L,190000.0,W1D 3DD,E09000033,{2FA4E575-F141-4C0F-9D62-785AE04C3F88},21808864.0,95.95,2.0,11.0,74.0,80.0,England and Wales: before 1900,1980.19801980198,2.0,95.95,74.0,England and Wales: before 1900,W1D,1995
{8B48121D-FF7D-4644-8B64-0A851D07DE26},178000,1995-06-09 00:00,W1D 3DD,F,Y,L,10,FLAT 17,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2918.03278688525,1995.0,1995-06-09,F,L,178000.0,W1D 3DD,E09000033,{8B48121D-FF7D-4644-8B64-0A851D07DE26},21857973.0,61.0,2.0,11.0,68.0,76.0,England and Wales: before 1900,2918.03278688525,2.0,61.0,68.0,England and Wales: before 1900,W1D,1995
{9C49B4C1-4F7E-4CA2-9289-8D2FA17F55C9},290000,1995-04-13 00:00,W1D 3DD,F,Y,L,10,FLAT 42,RICHMOND MEWS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2843.13725490196,1995.0,1995-04-13,F,L,290000.0,W1D 3DD,E09000033,{9C49B4C1-4F7E-4CA2-9289-8D2FA17F55C9},21935468.0,102.0,3.0,11.0,77.0,84.0,England and Wales: before 1900,2843.13725490196,3.0,102.0,77.0,England and Wales: before 1900,W1D,1995
