ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{591F9801-FFBE-4CFC-B0BF-E2B91C92FB6E},375000,1999-09-06 00:00,W1F 0BN,F,N,L,27A,,ST ANNES COURT,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3409.09090909091,1999.0,1999-09-06,F,L,375000.0,W1F 0BN,E09000033,{591F9801-FFBE-4CFC-B0BF-E2B91C92FB6E},21942903.0,110.0,4.0,11.0,60.0,79.0,England and Wales: 1900-1929,3409.09090909091,4.0,110.0,60.0,England and Wales: 1900-1929,W1F
{FBEE435E-31BA-442C-8108-DC456EC394C7},155000,1999-04-23 00:00,W1F 9QW,F,N,L,45,FLAT 6,BROADWICK STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3827.16049382716,1999.0,1999-04-23,F,L,155000.0,W1F 9QW,E09000033,{FBEE435E-31BA-442C-8108-DC456EC394C7},21910659.0,40.5,2.0,12.0,72.0,77.0,England and Wales: 1900-1929,3827.16049382716,2.0,40.5,72.0,England and Wales: 1900-1929,W1F
{5C0F2CFB-C0CE-4B72-9E12-051871F1633E},229950,1999-10-08 00:00,W1F 7SL,S,N,L,SANDRINGHAM COURT,FLAT 22,DUFOURS PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5347.67441860465,1999.0,1999-10-08,S,L,229950.0,W1F 7SL,E09000033,{5C0F2CFB-C0CE-4B72-9E12-051871F1633E},21900293.0,43.0,2.0,11.0,79.0,80.0,England and Wales: 1900-1929,5347.67441860465,2.0,43.0,79.0,England and Wales: 1900-1929,W1F
{1FFCE341-FC22-46CB-8B24-F107FBD45FBD},270000,1999-08-16 00:00,W1F 7SL,F,N,L,SANDRINGHAM COURT,FLAT 23,DUFOURS PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3698.6301369863,1999.0,1999-08-16,F,L,270000.0,W1F 7SL,E09000033,{1FFCE341-FC22-46CB-8B24-F107FBD45FBD},21944367.0,73.0,4.0,11.0,45.0,65.0,England and Wales: 1900-1929,3698.6301369863,4.0,73.0,45.0,England and Wales: 1900-1929,W1F
{B3E13A6F-2274-4CDD-B96C-E8328404D0D5},135000,1999-02-19 00:00,W1F 9BD,F,N,L,STIRLING COURT,EIGHTH FLOOR FLAT 2,MARSHALL STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3375.0,1999.0,1999-02-19,F,L,135000.0,W1F 9BD,E09000033,{B3E13A6F-2274-4CDD-B96C-E8328404D0D5},21926161.0,40.0,2.0,11.0,63.0,70.0,England and Wales: 1996-2002,3375.0,2.0,40.0,63.0,England and Wales: 1996-2002,W1F
{7597666D-A7AB-442C-8101-EC3CF05381F0},378000,1999-03-18 00:00,W1F 0BW,F,N,L,28,,ST ANNES COURT,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3705.88235294118,1999.0,1999-03-18,F,L,378000.0,W1F 0BW,E09000033,{7597666D-A7AB-442C-8101-EC3CF05381F0},21883065.0,102.0,4.0,12.0,41.0,52.0,England and Wales: before 1900,3705.88235294118,4.0,102.0,41.0,England and Wales: before 1900,W1F
{97EB81D2-E523-406F-A95B-8D0CBA24F4B9},87500,1999-07-12 00:00,W1F 0JL,F,N,L,INGESTRE COURT,FLAT 27,INGESTRE PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1944.44444444444,1999.0,1999-07-12,F,L,87500.0,W1F 0JL,E09000033,{97EB81D2-E523-406F-A95B-8D0CBA24F4B9},21924532.0,45.0,2.0,11.0,67.0,72.0,England and Wales: 1967-1975,1944.44444444444,2.0,45.0,67.0,England and Wales: 1967-1975,W1F
{7552BB87-A2F3-405F-BBD9-594C24CAFA59},170000,1999-05-28 00:00,W1F 7ER,F,N,L,"CITY OF WESTMINSTER DWELLINGS, 20",FLAT 9,MARSHALL STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4047.61904761905,1999.0,1999-05-28,F,L,170000.0,W1F 7ER,E09000033,{7552BB87-A2F3-405F-BBD9-594C24CAFA59},21811763.0,42.0,3.0,11.0,75.0,80.0,England and Wales: before 1900,4047.61904761905,3.0,42.0,75.0,England and Wales: before 1900,W1F
{DF5BA522-619F-439A-B351-4EBC75CC0924},140000,1999-12-10 00:00,W1F 0JL,F,N,L,INGESTRE COURT,FLAT 10,INGESTRE PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2761.88597356481,1999.0,1999-12-10,F,L,140000.0,W1F 0JL,E09000033,{DF5BA522-619F-439A-B351-4EBC75CC0924},21874666.0,50.69,2.0,11.0,69.0,80.0,England and Wales: 1976-1982,2761.88597356481,2.0,50.69,69.0,England and Wales: 1976-1982,W1F
{97BDAC57-8266-4C48-BCFD-A48721ED5842},390000,1999-11-03 00:00,W1F 9HB,F,N,L,6,FLAT 12,UPPER JOHN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4382.02247191011,1999.0,1999-11-03,F,L,390000.0,W1F 9HB,E09000033,{97BDAC57-8266-4C48-BCFD-A48721ED5842},21886426.0,89.0,3.0,11.0,84.0,84.0,England and Wales: 1983-1990,4382.02247191011,3.0,89.0,84.0,England and Wales: 1983-1990,W1F
{CA572F0D-4D87-4B0B-B015-7607B5AF63DA},240000,1999-05-20 00:00,W1F 9HB,F,N,L,6,FLAT 11,UPPER JOHN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4897.95918367347,1999.0,1999-05-20,F,L,240000.0,W1F 9HB,E09000033,{CA572F0D-4D87-4B0B-B015-7607B5AF63DA},21940933.0,49.0,2.0,11.0,77.0,78.0,England and Wales: 1983-1990,4897.95918367347,2.0,49.0,77.0,England and Wales: 1983-1990,W1F
{2A289EA0-6319-CDC8-E050-A8C063054829},185000,1999-01-22 00:00,W1F 0EL,F,N,L,3,,MEARD STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,752.032520325203,1999.0,1999-01-22,F,L,185000.0,W1F 0EL,E09000033,{2A289EA0-6319-CDC8-E050-A8C063054829},21823127.0,246.0,9.0,12.0,46.0,76.0,England and Wales: before 1900,752.032520325203,9.0,246.0,46.0,England and Wales: before 1900,W1F
{75210303-DB40-4B36-8843-A35D3C43F8EF},355000,1999-03-24 00:00,W1F 8ST,F,N,L,58A,,BERWICK STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2572.46376811594,1999.0,1999-03-24,F,L,355000.0,W1F 8ST,E09000033,{75210303-DB40-4B36-8843-A35D3C43F8EF},21828551.0,138.0,5.0,11.0,68.0,72.0,England and Wales: before 1900,2572.46376811594,5.0,138.0,68.0,England and Wales: before 1900,W1F
