ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{056BF1AE-A65C-420D-81C3-7756829B003B},195000,1999-05-11 00:00,W1J 7ES,F,N,L,47,FLAT 11,CLARGES STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4588.23529411765,1999.0,1999-05-11,F,L,195000.0,W1J 7ES,E09000033,{056BF1AE-A65C-420D-81C3-7756829B003B},21905883.0,42.5,2.0,11.0,49.0,54.0,England and Wales: 1950-1966,4588.23529411765,2.0,42.5,49.0,England and Wales: 1950-1966,W1J
{39B7CC19-5878-4F5F-8C93-7EB71CD8D7DE},950000,1999-04-30 00:00,W1J 5PF,T,N,L,11,,QUEEN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3244.53551912568,1999.0,1999-04-30,T,L,950000.0,W1J 5PF,E09000033,{39B7CC19-5878-4F5F-8C93-7EB71CD8D7DE},21853358.0,292.8,9.0,12.0,54.0,66.0,England and Wales: 1900-1929,3244.53551912568,9.0,292.8,54.0,England and Wales: 1900-1929,W1J
{77563C61-8FB0-42AF-BBCA-F6DB6AAEE602},370000,1999-03-11 00:00,W1J 5JY,F,N,L,CHESTERFIELD HOUSE,FLAT 81,CHESTERFIELD GARDENS,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5692.30769230769,1999.0,1999-03-11,F,L,370000.0,W1J 5JY,E09000033,{77563C61-8FB0-42AF-BBCA-F6DB6AAEE602},21899248.0,65.0,3.0,12.0,59.0,78.0,England and Wales: 1930-1949,5692.30769230769,3.0,65.0,59.0,England and Wales: 1930-1949,W1J
{5C8602A8-ED3C-4A12-B81C-6F70F2614244},296500,1999-02-22 00:00,W1J 6LY,F,N,L,18,FLAT 3,BRUTON PLACE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3154.25531914894,1999.0,1999-02-22,F,L,296500.0,W1J 6LY,E09000033,{5C8602A8-ED3C-4A12-B81C-6F70F2614244},21815074.0,94.0,3.0,11.0,50.0,54.0,England and Wales: before 1900,3154.25531914894,3.0,94.0,50.0,England and Wales: before 1900,W1J
{E8F38E85-F87B-4FE0-A029-07F3E7BE875C},424000,1999-07-28 00:00,W1J 8AE,F,N,L,17,FLAT 18,CLARGES STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4000.0,1999.0,1999-07-28,F,L,424000.0,W1J 8AE,E09000033,{E8F38E85-F87B-4FE0-A029-07F3E7BE875C},21927675.0,106.0,2.0,11.0,79.0,84.0,England and Wales: 1976-1982,4000.0,2.0,106.0,79.0,England and Wales: 1976-1982,W1J
{646DEE29-6137-4E8A-AFFE-82D1AA0CD70A},315000,1999-08-17 00:00,W1J 8NS,F,N,L,"BERKELEY HOUSE, 15",FLAT 26,HAY HILL,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5526.31578947368,1999.0,1999-08-17,F,L,315000.0,W1J 8NS,E09000033,{646DEE29-6137-4E8A-AFFE-82D1AA0CD70A},21834499.0,57.0,2.0,11.0,45.0,75.0,England and Wales: before 1900,5526.31578947368,2.0,57.0,45.0,England and Wales: before 1900,W1J
{23A31099-8CAB-4457-802C-92FFC9F724DC},205000,1999-09-30 00:00,W1J 7SU,F,Y,L,CARRINGTON HOUSE,FLAT 507,HERTFORD STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2497.86767393688,1999.0,1999-09-30,F,L,205000.0,W1J 7SU,E09000033,{23A31099-8CAB-4457-802C-92FFC9F724DC},21808302.0,82.07,2.0,12.0,65.0,68.0,England and Wales: before 1900,2497.86767393688,2.0,82.07,65.0,England and Wales: before 1900,W1J
{1D23F67D-8272-42C4-8A8E-A171DEC2748E},325000,1999-08-06 00:00,W1J 7RG,F,N,L,CARRINGTON HOUSE,FLAT 202,HERTFORD STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4169.87426225302,1999.0,1999-08-06,F,L,325000.0,W1J 7RG,E09000033,{1D23F67D-8272-42C4-8A8E-A171DEC2748E},21860308.0,77.94,3.0,12.0,56.0,57.0,England and Wales: 1930-1949,4169.87426225302,3.0,77.94,56.0,England and Wales: 1930-1949,W1J
{D505C2AF-39E8-4395-B0D3-14D5BEE7CCA2},150000,1999-08-26 00:00,W1J 7AF,F,N,L,GARRICK HOUSE,FLAT 12A,CARRINGTON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3886.0103626943,1999.0,1999-08-26,F,L,150000.0,W1J 7AF,E09000033,{D505C2AF-39E8-4395-B0D3-14D5BEE7CCA2},21891593.0,38.6,2.0,11.0,73.0,78.0,England and Wales: 1900-1929,3886.0103626943,2.0,38.6,73.0,England and Wales: 1900-1929,W1J
{223A0EC5-F878-4B06-A7EE-138A205AD3D1},375000,1999-04-23 00:00,W1J 8EA,F,N,L,17,FLAT 2,BERKELEY STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3289.47368421053,1999.0,1999-04-23,F,L,375000.0,W1J 8EA,E09000033,{223A0EC5-F878-4B06-A7EE-138A205AD3D1},21911925.0,114.0,4.0,11.0,69.0,74.0,England and Wales: before 1900,3289.47368421053,4.0,114.0,69.0,England and Wales: before 1900,W1J
{C9D0EBF8-3ED4-47C3-A1E1-F48A211CBB0F},280000,1999-03-11 00:00,W1J 5JU,F,N,L,CHESTERFIELD HOUSE,FLAT 37,CHESTERFIELD GARDENS,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4068.584713746,1999.0,1999-03-11,F,L,280000.0,W1J 5JU,E09000033,{C9D0EBF8-3ED4-47C3-A1E1-F48A211CBB0F},21907088.0,68.82,2.0,12.0,62.0,64.0,England and Wales: 1930-1949,4068.584713746,2.0,68.82,62.0,England and Wales: 1930-1949,W1J
{8861471C-5246-43B9-8A96-BABF0ADD630E},317000,1999-09-15 00:00,W1J 7UE,F,N,L,42 - 43,FLAT 1,CURZON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4647.41240287348,1999.0,1999-09-15,F,L,317000.0,W1J 7UE,E09000033,{8861471C-5246-43B9-8A96-BABF0ADD630E},21827197.0,68.21,3.0,11.0,71.0,73.0,England and Wales: before 1900,4647.41240287348,3.0,68.21,71.0,England and Wales: before 1900,W1J
{777315F1-981C-4653-B639-A5BFF5DAA3C9},760000,1999-06-15 00:00,W1J 7TU,F,N,L,36,FLAT 19,CURZON STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,6353.98378062035,1999.0,1999-06-15,F,L,760000.0,W1J 7TU,E09000033,{777315F1-981C-4653-B639-A5BFF5DAA3C9},21814075.0,119.61,5.0,11.0,36.0,38.0,England and Wales: before 1900,6353.98378062035,5.0,119.61,36.0,England and Wales: before 1900,W1J
{E6F7A122-844B-4D50-AB4F-9E14DD9482E2},250000,1999-05-26 00:00,W1J 8AE,F,N,L,17,FLAT 4,CLARGES STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4006.41025641026,1999.0,1999-05-26,F,L,250000.0,W1J 8AE,E09000033,{E6F7A122-844B-4D50-AB4F-9E14DD9482E2},21848499.0,62.4,3.0,12.0,69.0,75.0,England and Wales: 1950-1966,4006.41025641026,3.0,62.4,69.0,England and Wales: 1950-1966,W1J
{8D0C95D4-E095-4AF5-BE39-9E87135C361A},225000,1999-03-15 00:00,W1J 8NT,F,N,L,"BERKELEY HOUSE, 15",FLAT 66,HAY HILL,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4215.06182090671,1999.0,1999-03-15,F,L,225000.0,W1J 8NT,E09000033,{8D0C95D4-E095-4AF5-BE39-9E87135C361A},21895373.0,53.38,3.0,12.0,66.0,74.0,England and Wales: 1900-1929,4215.06182090671,3.0,53.38,66.0,England and Wales: 1900-1929,W1J
