ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{ED8B2BAD-4D62-4B4D-BB16-CADB6F9ACB7B},480000,1995-06-09 00:00,W1S 4NF,F,Y,L,33,FLAT 10,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4973.57786757849,1995.0,1995-06-09,F,L,480000.0,W1S 4NF,E09000033,{ED8B2BAD-4D62-4B4D-BB16-CADB6F9ACB7B},21852094.0,96.51,4.0,12.0,49.0,56.0,England and Wales: before 1900,4973.57786757849,4.0,96.51,49.0,England and Wales: before 1900,W1S,1995
{7114EF62-EA36-4A0E-9E2C-D1E5525ED5C0},490000,1995-08-15 00:00,W1S 4NF,F,Y,L,33,FLAT 9,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4858.70104115022,1995.0,1995-08-15,F,L,490000.0,W1S 4NF,E09000033,{7114EF62-EA36-4A0E-9E2C-D1E5525ED5C0},21840060.0,100.85,4.0,11.0,64.0,68.0,England and Wales: before 1900,4858.70104115022,4.0,100.85,64.0,England and Wales: before 1900,W1S,1995
{401BC8C5-9B3F-4BBD-85AF-72A60F928756},342500,1995-11-01 00:00,W1S 4NF,F,Y,L,33,FLAT 2,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3231.1320754717,1995.0,1995-11-01,F,L,342500.0,W1S 4NF,E09000033,{401BC8C5-9B3F-4BBD-85AF-72A60F928756},21813295.0,106.0,3.0,11.0,72.0,83.0,England and Wales: before 1900,3231.1320754717,3.0,106.0,72.0,England and Wales: before 1900,W1S,1995
{DCE2DB9A-D53A-426D-AD41-1D6A3F5EB99C},465500,1995-06-12 00:00,W1S 4NF,F,Y,L,33,FLAT 6A,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4495.4128440367,1995.0,1995-06-12,F,L,465500.0,W1S 4NF,E09000033,{DCE2DB9A-D53A-426D-AD41-1D6A3F5EB99C},21855735.0,103.55,4.0,11.0,73.0,78.0,England and Wales: before 1900,4495.4128440367,4.0,103.55,73.0,England and Wales: before 1900,W1S,1995
{2F3A865C-4682-4E82-ACC5-E0F16BAD5827},455400,1995-06-07 00:00,W1S 4NF,F,Y,L,33,FLAT 5,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5183.24607329843,1995.0,1995-06-07,F,L,455400.0,W1S 4NF,E09000033,{2F3A865C-4682-4E82-ACC5-E0F16BAD5827},21882777.0,87.86,3.0,11.0,71.0,74.0,England and Wales: before 1900,5183.24607329843,3.0,87.86,71.0,England and Wales: before 1900,W1S,1995
{19718189-A249-4C93-A611-AA6C05533A9D},385000,1995-12-29 00:00,W1S 4NF,F,Y,L,33,FLAT 8,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3632.07547169811,1995.0,1995-12-29,F,L,385000.0,W1S 4NF,E09000033,{19718189-A249-4C93-A611-AA6C05533A9D},21827068.0,106.0,3.0,12.0,64.0,67.0,England and Wales: 1900-1929,3632.07547169811,3.0,106.0,64.0,England and Wales: 1900-1929,W1S,1995
{73306870-32EA-45E3-BF2B-5E52286E43A4},430000,1995-06-08 00:00,W1S 4NF,F,N,L,33,FLAT 1,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4004.47010616502,1995.0,1995-06-08,F,L,430000.0,W1S 4NF,E09000033,{73306870-32EA-45E3-BF2B-5E52286E43A4},21832509.0,107.38,4.0,12.0,67.0,72.0,England and Wales: before 1900,4004.47010616502,4.0,107.38,67.0,England and Wales: before 1900,W1S,1995
{556990B2-C1F6-4338-BA9F-5DCE4F7BC195},445500,1995-06-08 00:00,W1S 4NF,F,Y,L,33,FLAT 6,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4621.36929460581,1995.0,1995-06-08,F,L,445500.0,W1S 4NF,E09000033,{556990B2-C1F6-4338-BA9F-5DCE4F7BC195},21898628.0,96.4,3.0,12.0,67.0,71.0,England and Wales: 1900-1929,4621.36929460581,3.0,96.4,67.0,England and Wales: 1900-1929,W1S,1995
{B1D54D25-1204-46B0-B8E4-A2D2B5020525},430000,1995-06-07 00:00,W1S 4NF,F,Y,L,33,FLAT 3,DOVER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4134.61538461538,1995.0,1995-06-07,F,L,430000.0,W1S 4NF,E09000033,{B1D54D25-1204-46B0-B8E4-A2D2B5020525},21886236.0,104.0,3.0,11.0,73.0,84.0,England and Wales: 1900-1929,4134.61538461538,3.0,104.0,73.0,England and Wales: 1900-1929,W1S,1995
{C00F6671-E982-4E51-938C-1B5878A4EF66},425000,1997-06-11 00:00,W1S 1NH,F,N,L,11 - 13,FLAT 5.1,POLLEN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4941.86046511628,1997.0,1997-06-11,F,L,425000.0,W1S 1NH,E09000033,{C00F6671-E982-4E51-938C-1B5878A4EF66},21871623.0,86.0,4.0,12.0,18.0,68.0,England and Wales: 1900-1929,4941.86046511628,4.0,86.0,18.0,England and Wales: 1900-1929,W1S,1997
{EF0AF2A0-AF10-4F83-BA4B-3CE9A2AA0BB7},260000,1997-03-04 00:00,W1S 1NH,F,Y,L,11 - 13,FLAT 2.1,POLLEN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3714.28571428571,1997.0,1997-03-04,F,L,260000.0,W1S 1NH,E09000033,{EF0AF2A0-AF10-4F83-BA4B-3CE9A2AA0BB7},21924223.0,70.0,2.0,11.0,77.0,81.0,England and Wales: before 1900,3714.28571428571,2.0,70.0,77.0,England and Wales: before 1900,W1S,1997
{E1657217-353E-4C2F-8437-726571AC6413},285000,1997-08-26 00:00,W1S 1NH,F,N,L,11 - 13,FLAT 1.1,POLLEN STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5089.28571428571,1997.0,1997-08-26,F,L,285000.0,W1S 1NH,E09000033,{E1657217-353E-4C2F-8437-726571AC6413},21842633.0,56.0,2.0,12.0,56.0,73.0,England and Wales: before 1900,5089.28571428571,2.0,56.0,56.0,England and Wales: before 1900,W1S,1997
