ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{42E6EB23-1DFB-4E9B-B41B-321216ED79CF},142000,1996-02-23 00:00,W1T 5EA,F,N,L,"IRVINE COURT, 100",FLAT 13,WHITFIELD STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2897.95918367347,1996.0,1996-02-23,F,L,142000.0,W1T 5EA,E09000007,{42E6EB23-1DFB-4E9B-B41B-321216ED79CF},19028314.0,49.0,3.0,12.0,76.0,83.0,England and Wales: 1996-2002,2897.95918367347,3.0,49.0,76.0,England and Wales: 1996-2002,W1T
{B02B3264-5A6A-441B-B352-01FD87DE797C},305000,1996-11-08 00:00,W1T 2BN,T,N,F,17,,COLVILLE PLACE,LONDON,LONDON,CAMDEN,GREATER LONDON,2606.83760683761,1996.0,1996-11-08,T,F,305000.0,W1T 2BN,E09000007,{B02B3264-5A6A-441B-B352-01FD87DE797C},19024539.0,117.0,5.0,11.0,65.0,86.0,England and Wales: 1900-1929,2606.83760683761,5.0,117.0,65.0,England and Wales: 1900-1929,W1T
{C830C86F-4FA1-4389-8409-E227F30C0BC8},87500,1996-03-01 00:00,W1T 3PL,F,N,L,FURNIVAL MANSIONS,FLAT 9,WELLS STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2083.33333333333,1996.0,1996-03-01,F,L,87500.0,W1T 3PL,E09000033,{C830C86F-4FA1-4389-8409-E227F30C0BC8},21845804.0,42.0,2.0,12.0,68.0,81.0,England and Wales: before 1900,2083.33333333333,2.0,42.0,68.0,England and Wales: before 1900,W1T
{EBF6448F-6D55-44C1-86E0-069E104F528E},135000,1996-05-09 00:00,W1T 6ED,F,N,L,ST LUKES HOUSE,5,FITZROY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,2278.86563133018,1996.0,1996-05-09,F,L,135000.0,W1T 6ED,E09000007,{EBF6448F-6D55-44C1-86E0-069E104F528E},19000836.0,59.24,2.0,12.0,76.0,77.0,England and Wales: before 1900,2278.86563133018,2.0,59.24,76.0,England and Wales: before 1900,W1T
{676AE809-9D63-4282-921F-6990509CE472},110000,1996-12-19 00:00,W1T 2NJ,F,N,L,36,FLAT 1,CHARLOTTE STREET,,LONDON,CAMDEN,GREATER LONDON,2156.86274509804,1996.0,1996-12-19,F,L,110000.0,W1T 2NJ,E09000007,{676AE809-9D63-4282-921F-6990509CE472},19025317.0,51.0,2.0,11.0,58.0,74.0,England and Wales: before 1900,2156.86274509804,2.0,51.0,58.0,England and Wales: before 1900,W1T
{548B0A88-966B-451C-A99C-69A3D8527322},145000,1996-11-11 00:00,W1T 4LZ,F,N,L,"PHILLIPS HOUSE, 52",FLAT 1,GOODGE STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2676.26430417128,1996.0,1996-11-11,F,L,145000.0,W1T 4LZ,E09000007,{548B0A88-966B-451C-A99C-69A3D8527322},18997562.0,54.18,3.0,12.0,72.0,74.0,England and Wales: 1976-1982,2676.26430417128,3.0,54.18,72.0,England and Wales: 1976-1982,W1T
{8AE36FCC-242B-4908-B930-6FE0C5FDB362},122000,1996-12-18 00:00,W1T 4BL,F,N,L,12 - 16,FLAT 25,FITZROY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3485.71428571429,1996.0,1996-12-18,F,L,122000.0,W1T 4BL,E09000007,{8AE36FCC-242B-4908-B930-6FE0C5FDB362},19036132.0,35.0,2.0,11.0,78.0,81.0,England and Wales: 1996-2002,3485.71428571429,2.0,35.0,78.0,England and Wales: 1996-2002,W1T
{F914106B-A912-455F-B1CF-33768755619F},145000,1996-05-24 00:00,W1T 6ED,F,N,L,ST LUKES HOUSE,1,FITZROY SQUARE,LONDON,LONDON,CAMDEN,GREATER LONDON,3027.13987473904,1996.0,1996-05-24,F,L,145000.0,W1T 6ED,E09000007,{F914106B-A912-455F-B1CF-33768755619F},18990665.0,47.9,3.0,11.0,69.0,70.0,England and Wales: before 1900,3027.13987473904,3.0,47.9,69.0,England and Wales: before 1900,W1T
{D901B6CE-A9A5-433C-A9F7-4FE59242913E},80000,1996-06-04 00:00,W1T 4AF,F,N,L,10,,TOTTENHAM MEWS,LONDON,LONDON,CAMDEN,GREATER LONDON,481.174064717912,1996.0,1996-06-04,F,L,80000.0,W1T 4AF,E09000007,{D901B6CE-A9A5-433C-A9F7-4FE59242913E},19066230.0,166.26,6.0,11.0,73.0,76.0,England and Wales: 1950-1966,481.174064717912,6.0,166.26,73.0,England and Wales: 1950-1966,W1T
{247A5FDD-2A22-47FF-9F67-80F757C82B72},75000,1996-01-19 00:00,W1T 6DP,F,N,L,"GLEBE HOUSE, 15",FLAT 3,FITZROY MEWS,LONDON,LONDON,CAMDEN,GREATER LONDON,1973.68421052632,1996.0,1996-01-19,F,L,75000.0,W1T 6DP,E09000007,{247A5FDD-2A22-47FF-9F67-80F757C82B72},19033235.0,38.0,2.0,11.0,56.0,75.0,England and Wales: 1976-1982,1973.68421052632,2.0,38.0,56.0,England and Wales: 1976-1982,W1T
{C7F39F6E-6E8C-48A7-A897-09726B6F2CC8},100000,1996-01-19 00:00,W1T 6DP,F,N,L,"GLEBE HOUSE, 15",FLAT 4,FITZROY MEWS,LONDON,LONDON,CAMDEN,GREATER LONDON,1666.66666666667,1996.0,1996-01-19,F,L,100000.0,W1T 6DP,E09000007,{C7F39F6E-6E8C-48A7-A897-09726B6F2CC8},19057161.0,60.0,2.0,11.0,75.0,79.0,England and Wales: 1967-1975,1666.66666666667,2.0,60.0,75.0,England and Wales: 1967-1975,W1T
{52F75DE5-23B3-4EDE-BFAC-C3C5D0BEE735},225000,1996-05-15 00:00,W1T 5NL,F,N,F,53,,WARREN STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,4221.38836772983,1996.0,1996-05-15,F,F,225000.0,W1T 5NL,E09000007,{52F75DE5-23B3-4EDE-BFAC-C3C5D0BEE735},19057429.0,53.3,,11.0,72.0,72.0,NO DATA!,4221.38836772983,,53.3,72.0,NO DATA!,W1T
{D4367FE3-0AE1-4208-9426-6164177D2CD4},77500,1996-10-18 00:00,W1T 6HB,F,N,L,32,FLAT B,MAPLE STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1630.54912686724,1996.0,1996-10-18,F,L,77500.0,W1T 6HB,E09000007,{D4367FE3-0AE1-4208-9426-6164177D2CD4},19012870.0,47.53,2.0,12.0,70.0,74.0,England and Wales: before 1900,1630.54912686724,2.0,47.53,70.0,England and Wales: before 1900,W1T
{D76F082B-CF08-4F9E-B51F-651A23A6663E},750000,1996-06-12 00:00,W1T 2DA,T,N,F,29,,PERCY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1710.53231765725,1996.0,1996-06-12,T,F,750000.0,W1T 2DA,E09000007,{D76F082B-CF08-4F9E-B51F-651A23A6663E},19056772.0,438.46,8.0,11.0,38.0,52.0,England and Wales: before 1900,1710.53231765725,8.0,438.46,38.0,England and Wales: before 1900,W1T
{6FA26FF3-CBFE-4967-9BA1-EF8A1C9F8F50},110000,1996-01-05 00:00,W1T 4PB,F,N,L,55,FLAT 2,CHARLOTTE STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2291.66666666667,1996.0,1996-01-05,F,L,110000.0,W1T 4PB,E09000007,{6FA26FF3-CBFE-4967-9BA1-EF8A1C9F8F50},19013381.0,48.0,2.0,11.0,61.0,81.0,England and Wales: before 1900,2291.66666666667,2.0,48.0,61.0,England and Wales: before 1900,W1T
{734854BF-8B56-4383-8539-F33CDD3E6E62},90000,1996-07-19 00:00,W1T 4AT,F,N,L,ELISA COURT,17,CHITTY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2359.10878112713,1996.0,1996-07-19,F,L,90000.0,W1T 4AT,E09000007,{734854BF-8B56-4383-8539-F33CDD3E6E62},19025748.0,38.15,2.0,11.0,71.0,74.0,England and Wales: 1983-1990,2359.10878112713,2.0,38.15,71.0,England and Wales: 1983-1990,W1T
{C7239261-EF22-4EA9-8ADD-B6DA8B1F045D},115000,1996-12-06 00:00,W1T 3PL,F,N,L,FURNIVAL MANSIONS,FLAT 19,WELLS STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2515.86086195581,1996.0,1996-12-06,F,L,115000.0,W1T 3PL,E09000033,{C7239261-EF22-4EA9-8ADD-B6DA8B1F045D},21917275.0,45.71,3.0,12.0,73.0,74.0,England and Wales: before 1900,2515.86086195581,3.0,45.71,73.0,England and Wales: before 1900,W1T
{E8B4ACB2-0616-4DFF-BDF3-DBCCA9C9A754},186800,1996-09-27 00:00,W1T 4HJ,F,N,L,109 - 113,FLAT 12,WHITFIELD STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2660.21076616349,1996.0,1996-09-27,F,L,186800.0,W1T 4HJ,E09000007,{E8B4ACB2-0616-4DFF-BDF3-DBCCA9C9A754},19068526.0,70.22,3.0,11.0,76.0,79.0,England and Wales: 1991-1995,2660.21076616349,3.0,70.22,76.0,England and Wales: 1991-1995,W1T
{4C13E78F-0F5F-4864-A96F-97A9B8918A4A},112000,1996-12-23 00:00,W1T 3PL,F,N,L,FURNIVAL MANSIONS,FLAT 24,WELLS STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3019.68185494743,1996.0,1996-12-23,F,L,112000.0,W1T 3PL,E09000033,{4C13E78F-0F5F-4864-A96F-97A9B8918A4A},21863428.0,37.09,3.0,11.0,60.0,65.0,England and Wales: 1900-1929,3019.68185494743,3.0,37.09,60.0,England and Wales: 1900-1929,W1T
{7E4014FA-643C-45D0-9F45-FECE71E5E10C},195000,1996-04-18 00:00,W1T 5EA,F,N,L,"IRVINE COURT, 100",FLAT 15,WHITFIELD STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1523.19950007811,1996.0,1996-04-18,F,L,195000.0,W1T 5EA,E09000007,{7E4014FA-643C-45D0-9F45-FECE71E5E10C},19056209.0,128.02,5.0,11.0,50.0,60.0,England and Wales: 1950-1966,1523.19950007811,5.0,128.02,50.0,England and Wales: 1950-1966,W1T
