ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{6198E5F4-4E66-4AE7-B0B5-374C77B359C9},155000,1997-04-25 00:00,W3 6JB,S,N,F,18,,FARADAY ROAD,LONDON,LONDON,EALING,GREATER LONDON,923.207042580691,1997.0,1997-04-25,S,F,155000.0,W3 6JB,E09000009,{6198E5F4-4E66-4AE7-B0B5-374C77B359C9},19251962.0,167.893,7.0,12.0,55.0,56.0,England and Wales: before 1900,923.207042580691,7.0,167.893,55.0,England and Wales: before 1900,W3
{A7F24601-38D5-4097-BA51-715A54AC84CD},185000,1997-05-02 00:00,W3 0LP,T,N,F,43,,PRINCES GARDENS,ACTON,LONDON,EALING,GREATER LONDON,1863.04128902316,1997.0,1997-05-02,T,F,185000.0,W3 0LP,E09000009,{A7F24601-38D5-4097-BA51-715A54AC84CD},19267635.0,99.3,6.0,11.0,42.0,50.0,England and Wales: 1930-1949,1863.04128902316,6.0,99.3,42.0,England and Wales: 1930-1949,W3
{B9D30E97-F603-4228-BDCA-3761B681837E},124000,1997-06-30 00:00,W3 0HH,F,N,L,OXFORD COURT,FLAT 27,QUEENS DRIVE,LONDON,LONDON,EALING,GREATER LONDON,1650.03326679973,1997.0,1997-06-30,F,L,124000.0,W3 0HH,E09000009,{B9D30E97-F603-4228-BDCA-3761B681837E},19291238.0,75.15,3.0,12.0,66.0,76.0,England and Wales: 1930-1949,1650.03326679973,3.0,75.15,66.0,England and Wales: 1930-1949,W3
{94CF28D1-A55E-4317-B10D-7FA32811D69A},65000,1997-06-06 00:00,W3 8AU,F,N,L,80A,,BOLLO BRIDGE ROAD,LONDON,LONDON,EALING,GREATER LONDON,1083.33333333333,1997.0,1997-06-06,F,L,65000.0,W3 8AU,E09000009,{94CF28D1-A55E-4317-B10D-7FA32811D69A},19235420.0,60.0,4.0,11.0,73.0,80.0,England and Wales: 1900-1929,1083.33333333333,4.0,60.0,73.0,England and Wales: 1900-1929,W3
{28FF3A66-7616-43E9-BBDE-7C1465D78CC4},173000,1997-09-30 00:00,W3 7AD,S,N,F,47,,BOWES ROAD,LONDON,LONDON,EALING,GREATER LONDON,988.571428571429,1997.0,1997-09-30,S,F,173000.0,W3 7AD,E09000009,{28FF3A66-7616-43E9-BBDE-7C1465D78CC4},19248164.0,175.0,7.0,11.0,69.0,80.0,England and Wales: 1930-1949,988.571428571429,7.0,175.0,69.0,England and Wales: 1930-1949,W3
{CE0A2165-E530-40F4-9A63-8D25F459F2D2},74000,1997-05-09 00:00,W3 9SD,F,N,L,WEST LODGE COURT,4,UXBRIDGE ROAD,LONDON,LONDON,EALING,GREATER LONDON,1574.46808510638,1997.0,1997-05-09,F,L,74000.0,W3 9SD,E09000009,{CE0A2165-E530-40F4-9A63-8D25F459F2D2},19335176.0,47.0,3.0,11.0,67.0,77.0,England and Wales: 1930-1949,1574.46808510638,3.0,47.0,67.0,England and Wales: 1930-1949,W3
{AF7FC783-AFF1-4D82-B613-4AE03A07A5BD},138500,1997-06-20 00:00,W3 8LL,T,N,F,12,,THE RIDGEWAY,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1564.97175141243,1997.0,1997-06-20,T,F,138500.0,W3 8LL,E09000018,{AF7FC783-AFF1-4D82-B613-4AE03A07A5BD},20201428.0,88.5,5.0,11.0,64.0,69.0,England and Wales: 1930-1949,1564.97175141243,5.0,88.5,64.0,England and Wales: 1930-1949,W3
{2EFE526C-25D0-4F67-BDB8-7FBA19324C61},122500,1997-11-28 00:00,W3 0HN,F,N,L,SUFFOLK HOUSE,FLAT 6,QUEENS DRIVE,LONDON,LONDON,EALING,GREATER LONDON,1633.33333333333,1997.0,1997-11-28,F,L,122500.0,W3 0HN,E09000009,{2EFE526C-25D0-4F67-BDB8-7FBA19324C61},19288027.0,75.0,4.0,11.0,58.0,64.0,England and Wales: 1950-1966,1633.33333333333,4.0,75.0,58.0,England and Wales: 1950-1966,W3
{8BBF150D-48F0-46D7-9E39-89A39F2566DA},117500,1997-04-16 00:00,W3 0JT,S,N,F,60,,NOEL ROAD,LONDON,LONDON,EALING,GREATER LONDON,987.394957983193,1997.0,1997-04-16,S,F,117500.0,W3 0JT,E09000009,{8BBF150D-48F0-46D7-9E39-89A39F2566DA},19340087.0,119.0,6.0,11.0,59.0,75.0,England and Wales: 1930-1949,987.394957983193,6.0,119.0,59.0,England and Wales: 1930-1949,W3
{2C20C397-A6A1-478D-B333-9D0B79C8B69D},102500,1997-01-20 00:00,W3 0EF,F,Y,L,CHESTER COURT,FLAT 7,MONKS DRIVE,LONDON,LONDON,EALING,GREATER LONDON,987.00048146365,1997.0,1997-01-20,F,L,102500.0,W3 0EF,E09000009,{2C20C397-A6A1-478D-B333-9D0B79C8B69D},19327622.0,103.85,5.0,12.0,53.0,71.0,England and Wales: 1950-1966,987.00048146365,5.0,103.85,53.0,England and Wales: 1950-1966,W3
{44852117-0B78-4337-AA7C-5216FD853A2A},79950,1997-08-22 00:00,W3 6BA,F,N,L,10C,,BURLINGTON GARDENS,LONDON,LONDON,EALING,GREATER LONDON,1573.8188976378,1997.0,1997-08-22,F,L,79950.0,W3 6BA,E09000009,{44852117-0B78-4337-AA7C-5216FD853A2A},19322435.0,50.8,2.0,11.0,50.0,62.0,England and Wales: 1900-1929,1573.8188976378,2.0,50.8,50.0,England and Wales: 1900-1929,W3
{58B1300C-5D10-4623-B196-7C3AC3351966},70950,1997-06-25 00:00,W3 6BA,F,Y,L,30B,,BURLINGTON GARDENS,LONDON,LONDON,EALING,GREATER LONDON,1447.95918367347,1997.0,1997-06-25,F,L,70950.0,W3 6BA,E09000009,{58B1300C-5D10-4623-B196-7C3AC3351966},19285639.0,49.0,2.0,11.0,63.0,80.0,England and Wales: before 1900,1447.95918367347,2.0,49.0,63.0,England and Wales: before 1900,W3
{54D7D368-647C-4194-B721-A1A5683960A8},70000,1997-08-06 00:00,W3 7YQ,F,N,L,44,,BEARDSLEY WAY,LONDON,LONDON,EALING,GREATER LONDON,1521.73913043478,1997.0,1997-08-06,F,L,70000.0,W3 7YQ,E09000009,{54D7D368-647C-4194-B721-A1A5683960A8},19233658.0,46.0,3.0,11.0,67.0,77.0,England and Wales: 1976-1982,1521.73913043478,3.0,46.0,67.0,England and Wales: 1976-1982,W3
{8F939D9E-8832-4E99-A678-55D57AA56167},75000,1997-04-29 00:00,W3 7AQ,F,N,L,31,FLAT 1,FRIARS PLACE LANE,LONDON,LONDON,EALING,GREATER LONDON,1136.36363636364,1997.0,1997-04-29,F,L,75000.0,W3 7AQ,E09000009,{8F939D9E-8832-4E99-A678-55D57AA56167},19351977.0,66.0,4.0,11.0,62.0,75.0,England and Wales: before 1900,1136.36363636364,4.0,66.0,62.0,England and Wales: before 1900,W3
{D23A47BA-9E8C-451C-9A1B-A1B0C144B7AC},270000,1997-11-17 00:00,W3 8HA,S,N,F,7,,AVENUE GARDENS,LONDON,LONDON,EALING,GREATER LONDON,1965.78085183837,1997.0,1997-11-17,S,F,270000.0,W3 8HA,E09000009,{D23A47BA-9E8C-451C-9A1B-A1B0C144B7AC},19334635.0,137.35,7.0,11.0,51.0,54.0,England and Wales: before 1900,1965.78085183837,7.0,137.35,51.0,England and Wales: before 1900,W3
{4E8F8AA8-9700-444C-B1A8-A1B2D56C50B6},342000,1997-07-23 00:00,W3 9AJ,S,N,F,9,,KINGSBRIDGE AVENUE,LONDON,LONDON,EALING,GREATER LONDON,1547.51131221719,1997.0,1997-07-23,S,F,342000.0,W3 9AJ,E09000009,{4E8F8AA8-9700-444C-B1A8-A1B2D56C50B6},19306130.0,221.0,9.0,11.0,62.0,81.0,England and Wales: 1930-1949,1547.51131221719,9.0,221.0,62.0,England and Wales: 1930-1949,W3
{32404CE9-AD95-41A3-AA50-596D1B30920D},128000,1997-05-28 00:00,W3 6PZ,T,N,F,37,,COWPER ROAD,LONDON,LONDON,EALING,GREATER LONDON,1401.66447656592,1997.0,1997-05-28,T,F,128000.0,W3 6PZ,E09000009,{32404CE9-AD95-41A3-AA50-596D1B30920D},19332366.0,91.32,4.0,12.0,58.0,67.0,England and Wales: 1900-1929,1401.66447656592,4.0,91.32,58.0,England and Wales: 1900-1929,W3
{EF86D87C-8C59-43FB-BE21-52541508F5BB},171000,1997-10-23 00:00,W3 7SX,T,N,F,104A,,LARDEN ROAD,LONDON,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON,2890.95519864751,1997.0,1997-10-23,T,F,171000.0,W3 7SX,E09000013,{EF86D87C-8C59-43FB-BE21-52541508F5BB},19735633.0,59.15,3.0,12.0,56.0,57.0,England and Wales: before 1900,2890.95519864751,3.0,59.15,56.0,England and Wales: before 1900,W3
{387395B5-1887-413D-8707-4B2DFA2EC9A0},56000,1997-05-06 00:00,W3 8QJ,F,N,L,139,FLAT A,AVENUE ROAD,LONDON,LONDON,EALING,GREATER LONDON,1434.79374839867,1997.0,1997-05-06,F,L,56000.0,W3 8QJ,E09000009,{387395B5-1887-413D-8707-4B2DFA2EC9A0},19331760.0,39.03,3.0,12.0,58.0,68.0,England and Wales: 1930-1949,1434.79374839867,3.0,39.03,58.0,England and Wales: 1930-1949,W3
{57C7F113-92FC-4F27-9DB3-5259F79DDD9B},183000,1997-05-09 00:00,W3 6DG,S,N,F,19,,STUART ROAD,LONDON,LONDON,EALING,GREATER LONDON,1180.64516129032,1997.0,1997-05-09,S,F,183000.0,W3 6DG,E09000009,{57C7F113-92FC-4F27-9DB3-5259F79DDD9B},19355108.0,155.0,8.0,11.0,60.0,83.0,England and Wales: 1900-1929,1180.64516129032,8.0,155.0,60.0,England and Wales: 1900-1929,W3
{F3CE3ACD-9825-4435-89C6-9E2E3228158F},91021,1997-08-01 00:00,W3 6DW,F,Y,L,39B,,SPENCER ROAD,LONDON,LONDON,EALING,GREATER LONDON,1110.01219512195,1997.0,1997-08-01,F,L,91021.0,W3 6DW,E09000009,{F3CE3ACD-9825-4435-89C6-9E2E3228158F},19252566.0,82.0,3.0,11.0,60.0,69.0,England and Wales: 1930-1949,1110.01219512195,3.0,82.0,60.0,England and Wales: 1930-1949,W3
{1FAC80C9-B501-408B-AC9A-55EB95FEFE97},88000,1997-03-14 00:00,W3 7HX,F,N,L,30,,BEECHWOOD GROVE,LONDON,LONDON,EALING,GREATER LONDON,1491.52542372881,1997.0,1997-03-14,F,L,88000.0,W3 7HX,E09000009,{1FAC80C9-B501-408B-AC9A-55EB95FEFE97},19256035.0,59.0,3.0,11.0,75.0,77.0,England and Wales: 1983-1990,1491.52542372881,3.0,59.0,75.0,England and Wales: 1983-1990,W3
{6CE6EC04-8D81-4A0A-8A03-5260DD7AC848},70000,1997-02-07 00:00,W3 8NH,F,N,L,21A,,AVENUE ROAD,LONDON,LONDON,EALING,GREATER LONDON,1250.44658806717,1997.0,1997-02-07,F,L,70000.0,W3 8NH,E09000009,{6CE6EC04-8D81-4A0A-8A03-5260DD7AC848},19269117.0,55.98,4.0,12.0,53.0,58.0,England and Wales: 1900-1929,1250.44658806717,4.0,55.98,53.0,England and Wales: 1900-1929,W3
{5AC42FFE-AEBD-4B33-94FA-A1D0F1F25116},84200,1997-06-06 00:00,W3 6JY,F,Y,L,28,FLAT 1,MESSALINE AVENUE,LONDON,LONDON,EALING,GREATER LONDON,1530.90909090909,1997.0,1997-06-06,F,L,84200.0,W3 6JY,E09000009,{5AC42FFE-AEBD-4B33-94FA-A1D0F1F25116},19273353.0,55.0,3.0,11.0,68.0,75.0,England and Wales: 1900-1929,1530.90909090909,3.0,55.0,68.0,England and Wales: 1900-1929,W3
{E0D0645D-DD5D-41B2-A029-A4B30CB05677},67950,1997-09-18 00:00,W3 6YJ,F,N,L,9,,ANDERSON CLOSE,LONDON,LONDON,EALING,GREATER LONDON,1877.07182320442,1997.0,1997-09-18,F,L,67950.0,W3 6YJ,E09000009,{E0D0645D-DD5D-41B2-A029-A4B30CB05677},19338779.0,36.2,2.0,11.0,41.0,53.0,England and Wales: 1996-2002,1877.07182320442,2.0,36.2,41.0,England and Wales: 1996-2002,W3
{B09A9B71-613E-4ECE-A0F2-93B99CDA5CCD},74000,1997-08-19 00:00,W3 8PA,F,N,L,13,GROUND FLOOR FLAT,WINCHESTER STREET,,LONDON,EALING,GREATER LONDON,1753.1390665719,1997.0,1997-08-19,F,L,74000.0,W3 8PA,E09000009,{B09A9B71-613E-4ECE-A0F2-93B99CDA5CCD},19294304.0,42.21,3.0,12.0,56.0,66.0,England and Wales: 1900-1929,1753.1390665719,3.0,42.21,56.0,England and Wales: 1900-1929,W3
