ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{CEF666BB-D968-4287-9613-577EDC401A87},227000,1995-01-04 00:00,W4 5LZ,T,,F,22,,MONTGOMERY ROAD,LONDON,LONDON,EALING,GREATER LONDON,1842.53246753247,7.0,123.2,49.0,1900,W4,1995
{2A289E9C-F23D-CDC8-E050-A8C063054829},35927,1995-01-04 00:00,W4 5BJ,T,,F,54,,CHURCH PATH,,LONDON,EALING,GREATER LONDON,505.302390998594,5.0,71.1,66.0,1990,W4,1995
{783A399A-2ACE-4888-8776-6EE4DB4A276A},99000,1995-01-05 00:00,W4 5NS,F,,L,108,,ROTHSCHILD ROAD,LONDON,LONDON,EALING,GREATER LONDON,1882.12927756654,3.0,52.6,72.0,1949,W4,1995
{1D81C21C-C76D-450D-82A5-C95477375FCA},142950,1995-01-05 00:00,W4 4NB,F,,L,10,,WATCHFIELD COURT,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1553.80434782609,4.0,92.0,65.0,1966,W4,1995
{F0FBA49D-D628-4AF6-9FEB-E9586D6AA157},129950,1995-01-06 00:00,W4 1BP,F,,L,26,FLAT A,RUSTHALL AVENUE,LONDON,LONDON,EALING,GREATER LONDON,1999.23076923077,3.0,65.0,59.0,1900,W4,1995
{49CBEB33-1EDD-41D3-9CF2-20207EE5EF9A},280000,1995-01-06 00:00,W4 1BN,T,,F,109,,RUSTHALL AVENUE,LONDON,LONDON,EALING,GREATER LONDON,1773.27422419253,8.0,157.9,41.0,1929,W4,1995
{D489C799-C5C8-481C-B531-D7613D673FAB},77000,1995-01-06 00:00,W4 4LR,F,,L,HEATHFIELD COURT,43,HEATHFIELD TERRACE,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1711.11111111111,2.0,45.0,76.0,1929,W4,1995
{2C4D623C-C4C4-4CFF-AAEB-7531C543AA4F},170000,1995-01-09 00:00,W4 3PH,S,,F,23,,STRAND ON THE GREEN,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1587.30158730159,4.0,107.1,60.0,1975,W4,1995
{2A289E9C-E194-CDC8-E050-A8C063054829},47000,1995-01-11 00:00,W4 3BY,F,,L,22,,CHISWICK VILLAGE,,LONDON,HOUNSLOW,GREATER LONDON,903.846153846154,3.0,52.0,58.0,1949,W4,1995
{7864356D-0764-4FD2-96DD-F3AD2DCF47D1},127000,1995-01-12 00:00,W4 5DY,S,,F,33,,CARLTON ROAD,LONDON,LONDON,EALING,GREATER LONDON,1524.24387902064,5.0,83.32,55.0,1929,W4,1995
{C61B6E85-9B1A-4D88-84F3-AA14573A8304},244950,1995-01-12 00:00,W4 2RU,F,,L,6,,THAMES CRESCENT,LONDON,LONDON,HOUNSLOW,GREATER LONDON,2691.75824175824,3.0,91.0,77.0,1995,W4,1995
{9D277A94-4DF1-45E0-9DED-7E13EE38C5FC},125000,1995-01-13 00:00,W4 2LL,F,,L,9A,,BEVERLEY ROAD,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1780.88046730303,3.0,70.19,51.0,1929,W4,1995
{C0751487-5C3A-4BC2-8729-DD515418DD8C},176000,1995-01-13 00:00,W4 1AF,T,,F,16,,HATFIELD ROAD,LONDON,LONDON,EALING,GREATER LONDON,1984.21645997745,6.0,88.7,58.0,1929,W4,1995
{F056E7B3-23D9-4998-9CD1-6D2046CF2D27},125000,1995-01-13 00:00,W4 4AA,F,,L,6,,CAMBRIDGE ROAD NORTH,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1177.57889778615,4.0,106.15,60.0,1900,W4,1995
{EBF3841B-DA5F-4DE1-86A2-0221A15287A6},176000,1995-01-13 00:00,W4 3ES,S,,F,58,,STAVELEY ROAD,LONDON,LONDON,HOUNSLOW,GREATER LONDON,1408.0,5.0,125.0,32.0,1949,W4,1995
{948D0F53-223F-4F2F-8787-3B9BD0583AC2},130000,1995-01-16 00:00,W4 1BN,T,,L,47,,RUSTHALL AVENUE,LONDON,LONDON,EALING,GREATER LONDON,1494.25287356322,4.0,87.0,57.0,1929,W4,1995
