ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{3986839D-9DA8-4FEF-BE73-F3ABADBEAC5C},113000,1998-11-26 00:00,WC1R 4PS,F,N,L,22,FLAT 7,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1428.57142857143,1998.0,1998-11-26,F,L,113000.0,WC1R 4PS,E09000007,{3986839D-9DA8-4FEF-BE73-F3ABADBEAC5C},18998347.0,79.1,3.0,12.0,73.0,79.0,England and Wales: 1976-1982,1428.57142857143,3.0,79.1,73.0,England and Wales: 1976-1982,WC1R
{323DDE20-2FFD-49C2-86C0-7C0AFB39E695},221000,1998-06-08 00:00,WC1R 4PS,F,N,L,22,FLAT 9,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2870.12987012987,1998.0,1998-06-08,F,L,221000.0,WC1R 4PS,E09000007,{323DDE20-2FFD-49C2-86C0-7C0AFB39E695},19081885.0,77.0,3.0,11.0,79.0,83.0,England and Wales: 1996-2002,2870.12987012987,3.0,77.0,79.0,England and Wales: 1996-2002,WC1R
{10CE9174-B892-4876-80CB-D14FC97C32E5},325000,1998-03-27 00:00,WC1R 4PS,F,N,L,23,FLAT 1,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2579.36507936508,1998.0,1998-03-27,F,L,325000.0,WC1R 4PS,E09000007,{10CE9174-B892-4876-80CB-D14FC97C32E5},19030457.0,126.0,4.0,11.0,77.0,80.0,England and Wales: 1996-2002,2579.36507936508,4.0,126.0,77.0,England and Wales: 1996-2002,WC1R
{2A289EA1-8025-CDC8-E050-A8C063054829},125000,1998-07-31 00:00,WC1R 4PF,F,N,F,50C,,RED LION STREET,,LONDON,CAMDEN,GREATER LONDON,1302.08333333333,1998.0,1998-07-31,F,F,125000.0,WC1R 4PF,E09000007,{2A289EA1-8025-CDC8-E050-A8C063054829},19048734.0,96.0,5.0,12.0,51.0,58.0,England and Wales: before 1900,1302.08333333333,5.0,96.0,51.0,England and Wales: before 1900,WC1R
{272ECB14-C014-4240-856E-A7F4840086CD},52000,1998-11-26 00:00,WC1R 4PS,F,N,L,22,FLAT 11,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1824.56140350877,1998.0,1998-11-26,F,L,52000.0,WC1R 4PS,E09000007,{272ECB14-C014-4240-856E-A7F4840086CD},19062244.0,28.5,1.0,12.0,83.0,86.0,England and Wales: 1991-1995,1824.56140350877,1.0,28.5,83.0,England and Wales: 1991-1995,WC1R
{72511E12-F134-40DD-BED8-2D5B1F03A37C},340000,1998-04-21 00:00,WC1R 4PS,F,N,L,22,FLAT 13,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3400.0,1998.0,1998-04-21,F,L,340000.0,WC1R 4PS,E09000007,{72511E12-F134-40DD-BED8-2D5B1F03A37C},18999310.0,100.0,4.0,11.0,53.0,59.0,England and Wales: 1950-1966,3400.0,4.0,100.0,53.0,England and Wales: 1950-1966,WC1R
{AE6DBB9E-2C82-4F32-9596-2AA4C2FAEFE4},240000,1998-10-08 00:00,WC1R 4PS,F,N,L,22A,FLAT 2,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,3652.96803652968,1998.0,1998-10-08,F,L,240000.0,WC1R 4PS,E09000007,{AE6DBB9E-2C82-4F32-9596-2AA4C2FAEFE4},19032288.0,65.7,3.0,12.0,69.0,73.0,England and Wales: before 1900,3652.96803652968,3.0,65.7,69.0,England and Wales: before 1900,WC1R
{5AFDCA5C-C22F-4D82-9565-58F7CBCFA280},108000,1998-11-26 00:00,WC1R 4PS,F,N,L,22,FLAT 4,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1430.8426073132,1998.0,1998-11-26,F,L,108000.0,WC1R 4PS,E09000007,{5AFDCA5C-C22F-4D82-9565-58F7CBCFA280},19038932.0,75.48,3.0,12.0,83.0,85.0,England and Wales: 1976-1982,1430.8426073132,3.0,75.48,83.0,England and Wales: 1976-1982,WC1R
{579ED0E6-9E0F-436D-A759-B7EDD64BB07B},125000,1998-05-20 00:00,WC1R 4RH,F,N,L,8B,FLAT B,LAMBS CONDUIT PASSAGE,LONDON,LONDON,CAMDEN,GREATER LONDON,2729.2576419214,1998.0,1998-05-20,F,L,125000.0,WC1R 4RH,E09000007,{579ED0E6-9E0F-436D-A759-B7EDD64BB07B},19068625.0,45.8,2.0,11.0,64.0,75.0,England and Wales: 1900-1929,2729.2576419214,2.0,45.8,64.0,England and Wales: 1900-1929,WC1R
{8A56A31E-AF17-4CA7-B89E-49C895464623},127000,1998-11-26 00:00,WC1R 4PS,F,N,L,22,FLAT 12,RED LION STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1999.05556430033,1998.0,1998-11-26,F,L,127000.0,WC1R 4PS,E09000007,{8A56A31E-AF17-4CA7-B89E-49C895464623},19050424.0,63.53,3.0,12.0,68.0,69.0,England and Wales: 1950-1966,1999.05556430033,3.0,63.53,68.0,England and Wales: 1950-1966,WC1R
