ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{B79C45C6-8975-4735-B0AE-4F4B85CEB769},95000,1995-10-17 00:00,WC2H 8DN,F,N,L,30,FLAT 2,NEW COMPTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1696.42857142857,1995.0,1995-10-17,F,L,95000.0,WC2H 8DN,E09000007,{B79C45C6-8975-4735-B0AE-4F4B85CEB769},19063356.0,56.0,2.0,11.0,58.0,83.0,England and Wales: 1976-1982,1696.42857142857,2.0,56.0,58.0,England and Wales: 1976-1982,WC2H
{71C1524D-1CF3-4202-A880-4907EDCB0467},140000,1995-05-01 00:00,WC2H 9JN,F,N,L,13,FLAT 3,SHELTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,4666.66666666667,1995.0,1995-05-01,F,L,140000.0,WC2H 9JN,E09000007,{71C1524D-1CF3-4202-A880-4907EDCB0467},19042011.0,30.0,1.0,11.0,58.0,76.0,England and Wales: before 1900,4666.66666666667,1.0,30.0,58.0,England and Wales: before 1900,WC2H
{19977FFD-C28C-4D9F-B024-5C47DA458DC9},270000,1995-10-05 00:00,WC2H 9NU,T,N,F,7,,TOWER COURT,LONDON,LONDON,CAMDEN,GREATER LONDON,1901.40845070423,1995.0,1995-10-05,T,F,270000.0,WC2H 9NU,E09000007,{19977FFD-C28C-4D9F-B024-5C47DA458DC9},19025395.0,142.0,6.0,11.0,48.0,68.0,England and Wales: before 1900,1901.40845070423,6.0,142.0,48.0,England and Wales: before 1900,WC2H
{D4B72777-7398-447E-A63A-CDDEBFFEB319},95000,1995-09-13 00:00,WC2H 9PE,F,N,L,66A,FLAT 1,NEAL STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2785.92375366569,1995.0,1995-09-13,F,L,95000.0,WC2H 9PE,E09000007,{D4B72777-7398-447E-A63A-CDDEBFFEB319},19006899.0,34.1,2.0,11.0,55.0,64.0,England and Wales: before 1900,2785.92375366569,2.0,34.1,55.0,England and Wales: before 1900,WC2H
{F9ACFC86-33CA-4B0E-AE68-1F2A8A77CFE4},330000,1995-08-23 00:00,WC2H 9PA,F,N,L,64A,,NEAL STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2598.42519685039,1995.0,1995-08-23,F,L,330000.0,WC2H 9PA,E09000007,{F9ACFC86-33CA-4B0E-AE68-1F2A8A77CFE4},19031372.0,127.0,4.0,12.0,61.0,71.0,England and Wales: before 1900,2598.42519685039,4.0,127.0,61.0,England and Wales: before 1900,WC2H
{B4C4D90D-0825-472F-9987-8F86BAC3E6C8},193000,1995-10-06 00:00,WC2H 9JU,F,N,L,51,FLAT 2,SHELTON STREET,,LONDON,CAMDEN,GREATER LONDON,2346.21930464381,1995.0,1995-10-06,F,L,193000.0,WC2H 9JU,E09000007,{B4C4D90D-0825-472F-9987-8F86BAC3E6C8},19054418.0,82.26,3.0,11.0,67.0,69.0,England and Wales: before 1900,2346.21930464381,3.0,82.26,67.0,England and Wales: before 1900,WC2H
{99B35832-C3C6-4DAD-8304-16BA686018A6},159000,1995-07-03 00:00,WC2H 9NP,T,N,F,4 - 10,FLAT 9,TOWER STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1657.28580362727,1995.0,1995-07-03,T,F,159000.0,WC2H 9NP,E09000007,{99B35832-C3C6-4DAD-8304-16BA686018A6},19043931.0,95.94,4.0,11.0,71.0,74.0,England and Wales: before 1900,1657.28580362727,4.0,95.94,71.0,England and Wales: before 1900,WC2H
{BBF61600-69F6-489C-9C74-F951890C08F1},170000,1995-03-01 00:00,WC2H 9SB,F,N,L,45,,ODHAMS WALK,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1791.92579319068,1995.0,1995-03-01,F,L,170000.0,WC2H 9SB,E09000033,{BBF61600-69F6-489C-9C74-F951890C08F1},21889356.0,94.87,3.0,11.0,75.0,81.0,England and Wales: 1976-1982,1791.92579319068,3.0,94.87,75.0,England and Wales: 1976-1982,WC2H
{CF92A484-3DEB-47C3-86B1-F28AB74AB764},140000,1995-03-31 00:00,WC2H 9LN,F,N,L,"FIELDING COURT, 28",FLAT 8,EARLHAM STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,286.885245901639,1995.0,1995-03-31,F,L,140000.0,WC2H 9LN,E09000007,{CF92A484-3DEB-47C3-86B1-F28AB74AB764},19038654.0,488.0,2.0,11.0,78.0,88.0,England and Wales: 1983-1990,286.885245901639,2.0,488.0,78.0,England and Wales: 1983-1990,WC2H
{E35A0055-560F-415C-8713-FBB7DA684F15},87000,1995-02-21 00:00,WC2H 9JU,F,N,L,51,FLAT 1,SHELTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,2558.82352941176,1995.0,1995-02-21,F,L,87000.0,WC2H 9JU,E09000007,{E35A0055-560F-415C-8713-FBB7DA684F15},19014095.0,34.0,2.0,11.0,64.0,76.0,England and Wales: 1900-1929,2558.82352941176,2.0,34.0,64.0,England and Wales: 1900-1929,WC2H
