ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{A5D07858-0004-4175-A8F9-F2C5F2288C00},70000,1995-02-10 00:00,CR6 9AW,S,N,F,225,,TITHE PIT SHAW LANE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,795.454545454545,1995.0,1995-02-10,S,F,70000.0,CR6 9AW,E09000008,{A5D07858-0004-4175-A8F9-F2C5F2288C00},19172343.0,88.0,5.0,11.0,68.0,82.0,England and Wales: 1930-1949,795.454545454545,5.0,88.0,68.0,England and Wales: 1930-1949,CR6,1995
{982480DA-E4F0-44FA-B2E6-1BF891010C2C},115000,1996-10-14 00:00,CR6 9AH,S,N,F,43,,AUDLEY DRIVE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1147.01775384002,1996.0,1996-10-14,S,F,115000.0,CR6 9AH,E09000008,{982480DA-E4F0-44FA-B2E6-1BF891010C2C},19122441.0,100.26,5.0,12.0,48.0,65.0,England and Wales: 1930-1949,1147.01775384002,5.0,100.26,48.0,England and Wales: 1930-1949,CR6,1996
{C5E62EDF-D6BC-4D88-AB57-2D88A761DA12},158950,1996-08-30 00:00,CR6 9AB,D,N,F,23,,KINGSWOOD LANE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1523.53110323014,1996.0,1996-08-30,D,F,158950.0,CR6 9AB,E09000008,{C5E62EDF-D6BC-4D88-AB57-2D88A761DA12},19184733.0,104.33,,11.0,80.0,80.0,NO DATA!,1523.53110323014,,104.33,80.0,NO DATA!,CR6,1996
{D3980789-4E6E-4C12-989C-B1056FC191DD},135000,1997-10-29 00:00,CR6 9AH,S,N,F,5,,AUDLEY DRIVE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1250.0,1997.0,1997-10-29,S,F,135000.0,CR6 9AH,E09000008,{D3980789-4E6E-4C12-989C-B1056FC191DD},19174071.0,108.0,5.0,11.0,68.0,83.0,England and Wales: 1950-1966,1250.0,5.0,108.0,68.0,England and Wales: 1950-1966,CR6,1997
{995A8CFA-1F78-43FE-82F6-8FC85A992B02},332000,1998-02-06 00:00,CR6 9AB,D,N,F,45,,KINGSWOOD LANE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1025.00771843161,1998.0,1998-02-06,D,F,332000.0,CR6 9AB,E09000008,{995A8CFA-1F78-43FE-82F6-8FC85A992B02},19122256.0,323.9,8.0,11.0,64.0,70.0,England and Wales: 1991-1995,1025.00771843161,8.0,323.9,64.0,England and Wales: 1991-1995,CR6,1998
{C2BD75DE-2E3C-432F-8584-223C59A154E4},109500,1998-11-27 00:00,CR6 9AW,S,N,F,215,,TITHE PIT SHAW LANE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1177.41935483871,1998.0,1998-11-27,S,F,109500.0,CR6 9AW,E09000008,{C2BD75DE-2E3C-432F-8584-223C59A154E4},19101015.0,93.0,4.0,11.0,61.0,85.0,England and Wales: 1950-1966,1177.41935483871,4.0,93.0,61.0,England and Wales: 1950-1966,CR6,1998
{5B5DF05E-CA76-4E44-8F6F-A733608ED379},149950,1998-05-19 00:00,CR6 9AH,S,N,F,12,,AUDLEY DRIVE,WARLINGHAM,WARLINGHAM,CROYDON,GREATER LONDON,1353.95033860045,1998.0,1998-05-19,S,F,149950.0,CR6 9AH,E09000008,{5B5DF05E-CA76-4E44-8F6F-A733608ED379},19163530.0,110.75,4.0,11.0,57.0,74.0,England and Wales: 1950-1966,1353.95033860045,4.0,110.75,57.0,England and Wales: 1950-1966,CR6,1998
{581B190D-9105-400D-B3BD-FD740EC3BEF7},77500,1999-07-09 00:00,CR6 9AW,F,N,L,233,,TITHE PIT SHAW LANE,,WARLINGHAM,CROYDON,GREATER LONDON,1210.9375,1999.0,1999-07-09,F,L,77500.0,CR6 9AW,E09000008,{581B190D-9105-400D-B3BD-FD740EC3BEF7},19174363.0,64.0,3.0,11.0,68.0,77.0,England and Wales: 1950-1966,1210.9375,3.0,64.0,68.0,England and Wales: 1950-1966,CR6,1999
{A21FA922-CF67-49F9-97A2-F086AEA8C686},134950,1999-07-02 00:00,CR6 9AU,D,N,F,199,,TITHE PIT SHAW LANE,,WARLINGHAM,CROYDON,GREATER LONDON,1587.64705882353,1999.0,1999-07-02,D,F,134950.0,CR6 9AU,E09000008,{A21FA922-CF67-49F9-97A2-F086AEA8C686},19179503.0,85.0,4.0,11.0,68.0,84.0,England and Wales: 1950-1966,1587.64705882353,4.0,85.0,68.0,England and Wales: 1950-1966,CR6,1999
{59F09352-2543-459B-8FA0-A5F03E032A98},112000,1999-08-27 00:00,CR6 9AU,D,N,F,201,,TITHE PIT SHAW LANE,,WARLINGHAM,CROYDON,GREATER LONDON,888.465809931778,1999.0,1999-08-27,D,F,112000.0,CR6 9AU,E09000008,{59F09352-2543-459B-8FA0-A5F03E032A98},19099859.0,126.06,6.0,12.0,37.0,59.0,England and Wales: 1930-1949,888.465809931778,6.0,126.06,37.0,England and Wales: 1930-1949,CR6,1999
{9E19B7BB-358F-4C97-96D3-DB7B425BD589},149950,1999-05-06 00:00,CR6 9AH,S,N,F,38,,AUDLEY DRIVE,,WARLINGHAM,CROYDON,GREATER LONDON,1484.65346534653,1999.0,1999-05-06,S,F,149950.0,CR6 9AH,E09000008,{9E19B7BB-358F-4C97-96D3-DB7B425BD589},19214525.0,101.0,5.0,11.0,71.0,85.0,England and Wales: 1950-1966,1484.65346534653,5.0,101.0,71.0,England and Wales: 1950-1966,CR6,1999
{99BE49ED-EB19-401C-A3DA-5DEE1394F3C7},178950,2000-09-01 00:00,CR6 9AW,S,N,F,243,,TITHE PIT SHAW LANE,,WARLINGHAM,CROYDON,GREATER LONDON,1424.76114649682,2000.0,2000-09-01,S,F,178950.0,CR6 9AW,E09000008,{99BE49ED-EB19-401C-A3DA-5DEE1394F3C7},19162558.0,125.6,7.0,11.0,72.0,79.0,England and Wales: 1950-1966,1424.76114649682,7.0,125.6,72.0,England and Wales: 1950-1966,CR6,2000
