Postcode,Ward Code,London zone,Index of Multiple Deprivation,Nearest station,Distance to station,Average Income,IMD decile,Ward Name,AvPTAI2015,PTAL
E1 0AA,E05009332,2,3911,Shadwell,0.358964,46600,2,Shadwell,25.857143,6
E1 0AB,E05009332,2,7611,Shadwell,0.477719,46600,3,Shadwell,25.857143,6
E1 0AD,E05009332,2,3911,Shadwell,0.210212,46600,2,Shadwell,25.857143,6
E1 0AE,E05009332,2,11397,Shadwell,0.307178,68700,4,Shadwell,25.857143,6
E1 0AF,E05009332,2,5313,Shadwell,0.401158,46600,2,Shadwell,25.857143,6
E1 0AG,E05009332,2,3911,Shadwell,0.306344,46600,2,Shadwell,25.857143,6
E1 0AH,E05009332,2,5313,Shadwell,0.377743,46600,2,Shadwell,25.857143,6
E1 0AJ,E05009332,2,11397,Shadwell,0.285946,68700,4,Shadwell,25.857143,6
E1 0AL,E05009332,2,11397,Shadwell,0.305896,68700,4,Shadwell,25.857143,6
E1 0AN,E05009332,2,11397,Shadwell,0.314954,68700,4,Shadwell,25.857143,6
E1 0AP,E05009332,2,5313,Shadwell,0.360195,46600,2,Shadwell,25.857143,6
E1 0AQ,E05009332,2,3911,Shadwell,0.418304,46600,2,Shadwell,25.857143,6
E1 0AR,E05009332,2,11397,Shadwell,0.335401,68700,4,Shadwell,25.857143,6
E1 0AS,E05009332,2,11397,Shadwell,0.294378,68700,4,Shadwell,25.857143,6
E1 0AT,E05009332,2,3911,Shadwell,0.270907,46600,2,Shadwell,25.857143,6
E1 0AU,E05009332,2,10599,Shadwell,0.244211,68700,4,Shadwell,25.857143,6
E1 0AW,E05009332,2,5313,Shadwell,0.362837,46600,2,Shadwell,25.857143,6
E1 0AX,E05009332,2,10599,Shadwell,0.244211,68700,4,Shadwell,25.857143,6
E1 0AY,E05009332,2,3911,Shadwell,0.298789,46600,2,Shadwell,25.857143,6
E1 0AZ,E05009332,2,3911,Shadwell,0.225527,46600,2,Shadwell,25.857143,6
E1 0BA,E05009332,2,3911,Shadwell,0.257362,46600,2,Shadwell,25.857143,6
E1 0BB,E05009332,2,3911,Shadwell,0.346619,46600,2,Shadwell,25.857143,6
E1 0BD,E05009332,2,3911,Shadwell,0.384488,46600,2,Shadwell,25.857143,6
E1 0BE,E05009332,2,5313,Shadwell,0.392998,46600,2,Shadwell,25.857143,6
E1 0BF,E05009332,2,3911,Shadwell,0.289287,46600,2,Shadwell,25.857143,6
E1 0BG,E05009332,2,3911,Shadwell,0.327191,46600,2,Shadwell,25.857143,6
E1 0BH,E05009332,2,5604,Shadwell,0.268948,68700,2,Shadwell,25.857143,6
E1 0BJ,E05009336,2,7506,Shadwell,0.323557,71000,3,Whitechapel,34.255102,6
E1 0BL,E05009332,2,5604,Shadwell,0.218025,68700,2,Shadwell,25.857143,6
E1 0BN,E05009332,2,3911,Shadwell,0.348451,46600,2,Shadwell,25.857143,6
E1 0BP,E05009332,2,5604,Shadwell,0.125261,68700,2,Shadwell,25.857143,6
E1 0BQ,E05009332,2,5313,Shadwell,0.394593,46600,2,Shadwell,25.857143,6
E1 0BS,E05009332,2,10599,Shadwell,0.0826949,68700,4,Shadwell,25.857143,6
E1 0BT,E05009332,2,10599,Shadwell,0.106352,68700,4,Shadwell,25.857143,6
E1 0BU,E05009332,2,10599,Shadwell,0.150118,68700,4,Shadwell,25.857143,6
E1 0BW,E05009332,2,5604,Shadwell,0.0593854,68700,2,Shadwell,25.857143,6
E1 0BX,E05009332,2,10599,Shadwell,0.0893026,68700,4,Shadwell,25.857143,6
E1 0BY,E05009332,2,5604,Shadwell,0.18228,68700,2,Shadwell,25.857143,6
E1 0BZ,E05009332,2,5604,Shadwell,0.18228,68700,2,Shadwell,25.857143,6
E1 0DA,E05009332,2,5604,Shadwell,0.12307,68700,2,Shadwell,25.857143,6
E1 0DB,E05009332,2,3911,Shadwell,0.273829,46600,2,Shadwell,25.857143,6
E1 0DD,E05009332,2,10599,Shadwell,0.113205,68700,4,Shadwell,25.857143,6
E1 0DE,E05009332,2,5604,Shadwell,0.0582653,68700,2,Shadwell,25.857143,6
E1 0DF,E05009332,2,5604,Shadwell,0.124942,68700,2,Shadwell,25.857143,6
E1 0DG,E05009332,2,5604,Shadwell,0.255574,68700,2,Shadwell,25.857143,6
E1 0DH,E05009332,2,5604,Shadwell,0.103862,68700,2,Shadwell,25.857143,6
E1 0DJ,E05009332,2,3911,Shadwell,0.488488,46600,2,Shadwell,25.857143,6
E1 0DL,E05009332,2,7611,Shadwell,0.580558,46600,3,Shadwell,25.857143,6
E1 0DN,E05009332,2,5604,Shadwell,0.148171,68700,2,Shadwell,25.857143,6
E1 0DP,E05009332,2,7611,Shadwell,0.563255,46600,3,Shadwell,25.857143,6
E1 0DQ,E05009332,2,7611,Shadwell,0.60191,46600,3,Shadwell,25.857143,6
E1 0DR,E05009332,2,5604,Shadwell,0.171379,68700,2,Shadwell,25.857143,6
E1 0DS,E05009332,2,3911,Shadwell,0.328297,46600,2,Shadwell,25.857143,6
E1 0DT,E05009332,2,7611,Shadwell,0.547802,46600,3,Shadwell,25.857143,6
E1 0DU,E05009332,2,7611,Shadwell,0.527059,46600,3,Shadwell,25.857143,6
E1 0DW,E05009332,2,5604,Shadwell,0.151434,68700,2,Shadwell,25.857143,6
E1 0DX,E05009332,2,7611,Shadwell,0.465871,46600,3,Shadwell,25.857143,6
E1 0DY,E05009332,2,11397,Shadwell,0.280424,68700,4,Shadwell,25.857143,6
E1 0DZ,E05009332,2,7611,Shadwell,0.446008,46600,3,Shadwell,25.857143,6
E1 0EA,E05009332,2,7611,Shadwell,0.566823,46600,3,Shadwell,25.857143,6
E1 0EB,E05009332,2,7611,Shadwell,0.443608,46600,3,Shadwell,25.857143,6
E1 0ED,E05009332,2,11397,Shadwell,0.336172,68700,4,Shadwell,25.857143,6
E1 0EE,E05009332,2,11397,Shadwell,0.326081,68700,4,Shadwell,25.857143,6
E1 0EF,E05009332,2,7611,Shadwell,0.564859,46600,3,Shadwell,25.857143,6
E1 0EG,E05009332,2,7611,Shadwell,0.562844,46600,3,Shadwell,25.857143,6
E1 0EH,E05009332,2,11397,Shadwell,0.198281,68700,4,Shadwell,25.857143,6
E1 0EJ,E05009332,2,11397,Shadwell,0.27998,68700,4,Shadwell,25.857143,6
E1 0EL,E05009332,2,7611,Shadwell,0.525751,46600,3,Shadwell,25.857143,6
E1 0EN,E05009329,2,4342,Limehouse,0.518461,50400,2,St. Dunstan's,21.014493,5
E1 0EP,E05009334,2,6032,Limehouse,0.649481,46600,2,Stepney Green,22.59375,5
