AvPTAI2015,PTAL,Postcode
1.743083,0,KT9 2SW
3.644788,1,KT9 1TT
5.655172,2,KT6 7AB
3.933086,1,KT6 7EW
7.062827,2,KT3 5HY
3.502252,1,SW20 0AW
4.157895,1,KT9 2RX
8.163636,2,KT6 7UW
5.944751,2,KT4 8DH
11.095588,3,KT6 5RY
15.8,4,KT6 4JB
12.336,3,KT2 7UA
9.414815,2,KT3 3SN
4.930818,1,KT3 4SW
5.065421,2,KT3 6RW
3.922581,1,TW10 5JJ
1.975389,0,CR8 5EP
2.225,0,CR2 8YB
4.631263,1,CR8 4YN
8.563187,2,CR2 6YT
2.430556,0,CR8 5YL
5.864286,2,CR8 5NA
1.814465,0,CR8 1XL
4.037931,1,CR2 8JU
26.476064,6,CR2 7PB
16.674157,4,CR0 4ZS
7.091371,2,CR7 7YE
10.180556,3,SW16 4RQ
7.568093,2,SW16 5TX
6.911765,2,CR0 9UG
6.941504,2,CR2 7ZQ
7.835616,2,CR0 9EZ
3.438596,1,CR0 8YX
12.730089,3,SE25 6XB
6.958955,2,SE25 4SU
10.842593,3,SE25 5RF
8.97006,2,SE25 6XA
6.77907,2,SW16 3SQ
11.145833,3,SE25 6YD
18.264151,4,CR0 7AA
0.365702,0,TN16 3ST
2.456302,0,BR4 9QS
3.552727,1,BR6 8NT
1.34689,0,BR6 9XU
1.323706,0,TN16 3YE
3.869074,1,BR4 9RB
12.892241,3,SE20 7YW
5.216374,2,BR3 6XX
3.737892,1,BR6 9TE
5.161943,2,BR4 0HT
14.913279,3,BR3 5HG
4.860656,1,BR7 5SF
6.87703,2,BR6 0XA
14.25,3,SE26 6UX
11.905405,3,SE26 5QH
8.605422,2,SE26 5BG
5.167082,2,BR1 5SN
2.901341,1,BR7 6TN
4.119342,1,SE9 4UA
6.424171,2,BR6 9WE
4.635443,1,BR6 0EB
1.601509,0,DA14 5BW
2.376682,0,TW19 7NL
3.334375,1,TW13 7NB
4.240741,1,TW5 9WA
8.191489,2,TW8 8QZ
3.483029,1,UB2 5XA
4.937799,1,UB2 5UY
3.734921,1,TW8 9EP
7.867508,2,W5 4RQ
6.423423,2,W6 0YF
2.637224,1,TW15 1AT
4.794038,1,TW13 7QQ
7.529412,2,TW14 9SA
5.733577,2,TW4 5LF
12.420732,3,TW4 7RP
7.137725,2,TW5 9ET
4.619318,1,TW7 7PW
4.317308,1,TW7 7QZ
19.494253,4,TW7 4SZ
5.860577,2,W4 4BX
14.225989,3,W4 5UX
3.688654,1,W7 2PH
7.067901,2,UB2 5YY
3.727794,1,UB5 6XR
7.696833,2,UB6 9HF
8.948617,2,UB6 9UQ
4.674699,1,UB6 7QW
9.548387,2,W7 2JJ
12.104019,3,W3 7XS
8.79375,2,UB1 3HD
8.99005,2,W7 3XA
12.455172,3,W7 2JR
5.908497,2,UB6 9RL
7.97482,2,UB5 6AG
7.311404,2,W7 3XP
7.309091,2,W7 1QW
7.332335,2,UB6 9QY
6.204748,2,UB6 8YJ
12.15566,3,W5 5UA
19.983871,4,W5 5PE
15.40678,4,W5 3SU
9.802817,2,W4 5XL
8.123596,2,W3 9QF
10.487879,3,W5 3QU
1.001332,0,RM15 4XJ
0.85003,0,RM15 4UU
2.705968,1,RM13 8TX
3.553425,1,RM13 7QD
5.864929,2,RM7 9RB
16.020833,4,RM7 9QN
4.296053,1,RM7 8RE
3.24173,1,RM5 3PX
5.417004,2,RM14 2RX
8.854478,2,RM12 6QX
2.509761,1,RM3 0XA
6.387218,2,RM2 6RX
2.211921,0,RM3 9PA
3.115854,1,RM14 3EA
1.092857,0,RM5 3YT
2.997093,1,RM3 8YX
1.943299,0,RM3 9YX
3.568966,1,RM12 4TZ
