Postcode,IMD Extent %,IMD average score,Income score,Employment score
IG11 9XW,43%,31.3,0.189,0.093
RM9 5XJ,65%,35.4,0.215,0.137
RM8 3XU,64%,35.3,0.207,0.126
RM6 6YX,47%,32.1,0.19,0.122
RM7 0YZ,20%,25.3,0.153,0.1
RM9 4XW,49%,33.2,0.186,0.114
IG11 7YQ,73%,37.1,0.233,0.129
RM9 6YQ,52%,33.3,0.198,0.12
RM9 5XL,61%,35.9,0.208,0.136
IG11 9YB,0%,21.2,0.122,0.073
RM9 5SD,78%,38.2,0.222,0.137
RM9 5YX,47%,32.5,0.193,0.129
RM9 6YS,47%,32.9,0.186,0.115
RM9 6XT,63%,36.4,0.222,0.124
RM8 3YH,68%,36.4,0.217,0.137
RM10 9YZ,61%,36.1,0.213,0.134
RM8 1SW,4%,24.5,0.135,0.082
N20 0BB,6%,13.1,0.098,0.073
NW9 5WW,19%,28.0,0.187,0.111
NW3 7UT,8%,19.7,0.128,0.085
NW9 6SR,23%,25.2,0.174,0.093
N20 0XU,2%,16.6,0.116,0.074
N14 4QU,2%,15.0,0.113,0.074
N6 4TB,8%,15.1,0.114,0.068
HA8 9XG,1%,14.9,0.099,0.068
NW7 1NJ,0%,10.5,0.077,0.051
NW3 7JP,0%,9.1,0.052,0.039
NW2 2NB,12%,19.2,0.123,0.092
NW7 4QN,4%,15.6,0.111,0.072
NW4 4XW,0%,16.0,0.102,0.067
EN5 5YR,0%,11.1,0.075,0.06
NW7 4SX,0%,13.9,0.094,0.063
N20 9RW,0%,11.9,0.092,0.06
NW7 4HR,0%,9.8,0.07,0.05
WD6 2RW,14%,19.9,0.137,0.102
N3 2UJ,0%,12.1,0.087,0.056
NW9 7SD,6%,19.5,0.114,0.073
N3 2UD,5%,16.2,0.12,0.076
,13%,16.5,0.107,0.083
,11%,22.6,0.15,0.093
,0%,12.6,0.075,0.061
,0%,9.2,0.056,0.048
,0%,9.3,0.056,0.046
,11%,21.2,0.121,0.094
,0%,9.9,0.068,0.056
,0%,14.2,0.088,0.072
,17%,26.3,0.174,0.11
,0%,11.1,0.067,0.05
,0%,10.4,0.069,0.051
,9%,19.6,0.131,0.097
,12%,16.4,0.106,0.077
,50%,31.7,0.209,0.143
,8%,13.2,0.079,0.063
,16%,25.4,0.191,0.112
,0%,10.5,0.067,0.059
HA0 4PQ,0%,22.5,0.122,0.068
NW9 8SD,28%,25.2,0.169,0.106
NW6 7YZ,6%,21.5,0.137,0.082
NW2 7UH,28%,29.5,0.195,0.123
NW2 7SB,27%,27.5,0.162,0.101
NW9 9SJ,1%,19.9,0.119,0.067
NW10 9UU,75%,39.6,0.247,0.171
NW10 5YS,32%,28.4,0.166,0.117
NW9 9SN,0%,13.0,0.088,0.053
W9 2EX,45%,31.1,0.213,0.132
NW2 6XN,10%,24.2,0.141,0.095
HA9 7LY,0%,14.9,0.09,0.049
HA9 8XB,10%,20.8,0.128,0.08
W9 3EG,2%,19.0,0.116,0.08
NW9 9UE,0%,19.9,0.127,0.072
NW10 9DG,93%,45.3,0.274,0.192
HA0 4UZ,0%,22.2,0.131,0.073
HA9 8UP,0%,21.9,0.116,0.067
NW9 8TG,35%,27.6,0.156,0.095
HA9 8AF,8%,23.0,0.125,0.07
NW2 5UG,23%,29.9,0.188,0.114
BR7 5SF,0%,8.2,0.055,0.042
TN16 3YE,0%,9.3,0.067,0.051
BR6 8NT,11%,15.9,0.102,0.073
BR3 5HG,0%,10.7,0.068,0.049
BR6 9XU,0%,6.7,0.048,0.042
