experiment_code,trial_number,value,lr,dropout_rate,n_layers,n_units_l0,n_units_l1,n_units_l2
E6,11,7376908288.0,0.06259788408047838,0.13370506355237852,1,43,,
E1,23,31709136896.0,0.043013872713776755,0.09651017346302121,2,118,89,
IG8,22,36202475520.0,0.006915783691004168,0.4492747780934861,2,101,30,
N15,32,21489371136.0,0.003638731123393218,0.2618603839532714,2,88,107,
SW9,14,31628879872.0,0.09745030416864421,0.09758536579022911,3,42,18,16
N12,30,26219448320.0,0.016488889292665985,0.03866767699864121,3,128,17,125
KT6,32,20594221056.0,0.02248808561367508,0.151598324168927,3,109,29,58
W7,7,21166761984.0,0.0072340268695027105,0.05364992138581798,3,62,88,33
KT1,32,22477076480.0,0.04036578068723797,0.17786620422571514,3,41,110,21
N9,13,5840052224.0,0.0191564895310933,0.20486226036841998,3,71,127,69
DA17,10,5600248832.0,0.055774011829800955,0.041789146099754426,3,28,67,16
DA6,23,13169046528.0,0.04612309331080416,0.07824784792851887,3,72,83,126
RM7,34,7598244864.0,0.09934911016929567,0.034453107676939626,2,41,84,
BR4,13,25805746176.0,0.007200216813522057,0.11724024659230226,2,35,16,
SE18,11,8148858880.0,0.01139958515922458,0.04571907528707014,3,67,122,71
EC4,21,49069109248.0,0.09909366259276575,0.007090553845427727,2,60,71,
DA1,25,6517501440.0,0.08953487697210268,0.04948978964362569,3,50,126,22
BR3,16,19192406016.0,0.01801705997520774,0.07088479374190909,3,24,97,123
SE8,38,10480575488.0,0.009235340617753527,0.031145745547449408,3,113,92,19
EC3,25,186626342912.0,0.09946490229542845,0.10459677091064573,2,29,39,
E15E20,34,10066689024.0,0.0544823989297408,0.043923632718845924,3,67,23,22
TW9,21,78152278016.0,0.009703396402003217,0.10409474124687147,2,53,82,
CR5,21,17541376000.0,0.004131947082556634,0.28174802865768944,3,128,99,25
SM6,6,10661238784.0,0.004337164618752502,0.011798027009447265,2,53,112,
RM12,32,11032430592.0,0.09254725408570849,0.026479435136732885,2,101,50,
CR2,30,14588368896.0,0.006386344253665298,0.2734939913123424,3,96,69,16
SM1,33,10081727488.0,0.041624673430600244,0.02523445529154702,2,117,102,
UB8,21,11613810688.0,0.004226543079636647,0.11698851456884654,2,78,122,
DA16,10,11222727680.0,0.05402995619175714,0.0030168690593394987,2,118,120,
N8,16,44617236480.0,0.020145467134152703,0.11149189847484012,3,65,120,62
W6,32,99459137536.0,0.04682154705671555,0.022451906403641003,3,19,77,55
W1,35,687795404800.0,0.04221628336615546,0.0319946443572936,3,34,70,16
SE9,32,13964717056.0,0.018706265626359672,0.05280780644038059,3,88,53,65
EC2,26,59520102400.0,0.04019376030666907,0.28835402197923793,3,66,73,81
BR2,30,23195164672.0,0.030253820686990153,0.028888927755304758,3,39,107,24
RM1,26,9907372032.0,0.0021876279961203435,0.0068274176192109955,3,124,69,127
SE19,35,21877596160.0,0.05045945432244524,0.035842435151258734,2,52,105,
DA7,37,12109015040.0,0.028791098917826056,0.2010490184063482,2,71,28,
RM6,17,6779283968.0,0.0028783999499309254,0.141265854282754,3,65,103,16
SW8,21,40279367680.0,0.03304034410924236,0.08382769272227941,3,26,77,25
N14,0,24752474112.0,0.08895994124259225,0.28691974004031634,3,30,47,65
IG9,38,43676348416.0,0.012109173180694361,0.2031530065322387,2,22,30,
WC1,36,50940448768.0,0.01874892104852166,0.06749204625634514,3,40,19,47
UB9,1,14426677248.0,0.031999784585035385,0.30361629636212445,2,74,36,
N22,39,21502808064.0,0.06539742099933812,0.10647984614421974,2,113,102,
RM14,34,24139757568.0,0.09110759967105919,0.0357771861222896,2,67,89,
RM13,23,9114949632.0,0.03691670280681781,0.08731279394856649,3,118,20,65
CR4,36,7864977920.0,0.01682723840218341,0.03554061746768709,3,61,63,128
TW8,34,19825047552.0,0.025356776629957747,0.13595733567649554,2,65,69,
SE28,35,3257315328.0,0.026635015578488862,0.018031768030835994,3,111,21,16
E18,28,20310927360.0,0.012137323734860856,0.2356429358532117,2,98,75,
TW5,21,11744994304.0,0.0061956128606963845,0.21658732729141963,3,103,18,36
E12,17,9328083968.0,0.0048475008973015415,0.009469134644376227,3,66,29,49
SE22,32,44502192128.0,0.0519037604395021,0.06939013857517846,2,111,124,
TW2,32,27452762112.0,0.05010734472048178,0.012188937233292858,3,27,46,63
