Average_Price,borough,Date
467307.3,SE15,2022-01-01
469315.28,SE15,2022-02-01
472106.88,SE15,2022-03-01
475213.6,SE15,2022-04-01
478283.38,SE15,2022-05-01
481429.03,SE15,2022-06-01
484541.0,SE15,2022-07-01
487747.38,SE15,2022-08-01
490828.88,SE15,2022-09-01
493805.72,SE15,2022-10-01
496856.6,SE15,2022-11-01
499833.28,SE15,2022-12-01
595992.9,EC3,2022-01-01
850073.5,EC3,2022-02-01
715589.2,EC3,2022-03-01
534223.1,EC3,2022-04-01
695294.4,EC3,2022-05-01
523859.16,EC3,2022-06-01
484019.47,EC3,2022-07-01
538477.25,EC3,2022-08-01
460750.34,EC3,2022-09-01
461228.38,EC3,2022-10-01
466017.1,EC3,2022-11-01
457643.97,EC3,2022-12-01
651761.94,SW16,2022-01-01
652332.8,SW16,2022-02-01
656944.0,SW16,2022-03-01
658099.8,SW16,2022-04-01
662433.06,SW16,2022-05-01
664028.1,SW16,2022-06-01
667980.7,SW16,2022-07-01
669905.6,SW16,2022-08-01
673686.75,SW16,2022-09-01
675744.94,SW16,2022-10-01
679311.5,SW16,2022-11-01
681555.56,SW16,2022-12-01
494204.62,NW9,2022-01-01
494402.78,NW9,2022-02-01
494603.3,NW9,2022-03-01
494801.53,NW9,2022-04-01
495000.5,NW9,2022-05-01
495198.78,NW9,2022-06-01
495397.66,NW9,2022-07-01
495595.9,NW9,2022-08-01
495794.16,NW9,2022-09-01
495993.12,NW9,2022-10-01
496191.28,NW9,2022-11-01
496390.16,NW9,2022-12-01
333283.25,RM6,2022-01-01
334422.38,RM6,2022-02-01
334863.22,RM6,2022-03-01
336442.94,RM6,2022-04-01
337222.06,RM6,2022-05-01
338204.78,RM6,2022-06-01
339480.97,RM6,2022-07-01
340180.97,RM6,2022-08-01
341566.28,RM6,2022-09-01
342330.6,RM6,2022-10-01
343503.3,RM6,2022-11-01
344516.16,RM6,2022-12-01
246025.34,DA18,2022-01-01
185732.31,DA18,2022-02-01
146817.34,DA18,2022-03-01
118886.32,DA18,2022-04-01
106300.7,DA18,2022-05-01
103309.5,DA18,2022-06-01
103017.73,DA18,2022-07-01
102932.96,DA18,2022-08-01
102848.21,DA18,2022-09-01
102750.914,DA18,2022-10-01
102666.15,DA18,2022-11-01
104231.11,DA18,2022-12-01
428232.03,IG2,2022-01-01
429884.1,IG2,2022-02-01
432915.78,IG2,2022-03-01
432491.62,IG2,2022-04-01
435621.03,IG2,2022-05-01
436313.28,IG2,2022-06-01
438001.56,IG2,2022-07-01
439968.34,IG2,2022-08-01
440932.34,IG2,2022-09-01
443090.06,IG2,2022-10-01
444222.0,IG2,2022-11-01
445985.9,IG2,2022-12-01
1070470.5,SW12,2022-01-01
1076364.5,SW12,2022-02-01
1081754.9,SW12,2022-03-01
1087648.9,SW12,2022-04-01
1093375.1,SW12,2022-05-01
1099269.0,SW12,2022-06-01
1104995.0,SW12,2022-07-01
1110889.0,SW12,2022-08-01
1116782.9,SW12,2022-09-01
1122509.2,SW12,2022-10-01
1128403.0,SW12,2022-11-01
1134129.1,SW12,2022-12-01
583736.3,SE11,2022-01-01
594845.56,SE11,2022-02-01
594941.6,SE11,2022-03-01
599298.7,SE11,2022-04-01
