Borough,lr,dropout_rate,n_layers,n_units_l0,n_units_l1,n_units_l2
E6,0.06259788408047840,0.13370506355237900,1,43,,
E1,0.043013872713776800,0.09651017346302120,2,118,89,
IG8,0.006915783691004170,0.4492747780934860,2,101,30,
N15,0.003638731123393220,0.2618603839532710,2,88,107,
SW9,0.09745030416864420,0.09758536579022910,3,42,18,16
N12,0.016488889292666000,0.03866767699864120,3,128,17,125
KT6,0.02248808561367510,0.151598324168927,3,109,29,58
W7,0.0072340268695027100,0.05364992138581800,3,62,88,33
KT1,0.04036578068723800,0.17786620422571500,3,41,110,21
N9,0.0191564895310933,0.20486226036842000,3,71,127,69
DA17,0.055774011829801000,0.041789146099754400,3,28,67,16
DA6,0.04612309331080420,0.07824784792851890,3,72,83,126
RM7,0.09934911016929570,0.034453107676939600,2,41,84,
BR4,0.007200216813522060,0.11724024659230200,2,35,16,
SE18,0.01139958515922460,0.04571907528707010,3,67,122,71
EC4,0.09909366259276580,0.007090553845427730,2,60,71,
DA1,0.08953487697210270,0.04948978964362570,3,50,126,22
BR3,0.01801705997520770,0.07088479374190910,3,24,97,123
SE8,0.009235340617753530,0.031145745547449400,3,113,92,19
EC3,0.09946490229542850,0.10459677091064600,2,29,39,
E15E20,0.0544823989297408,0.043923632718845900,3,67,23,22
TW9,0.009703396402003220,0.10409474124687100,2,53,82,
CR5,0.004131947082556630,0.28174802865768900,3,128,99,25
SM6,0.004337164618752500,0.011798027009447300,2,53,112,
RM12,0.09254725408570850,0.026479435136732900,2,101,50,
CR2,0.006386344253665300,0.2734939913123420,3,96,69,16
SM1,0.041624673430600200,0.02523445529154700,2,117,102,
UB8,0.004226543079636650,0.11698851456884700,2,78,122,
DA16,0.05402995619175710,0.0030168690593395000,2,118,120,
N8,0.020145467134152700,0.11149189847484000,3,65,120,62
W6,0.04682154705671560,0.022451906403641000,3,19,77,55
W1,0.04221628336615550,0.0319946443572936,3,34,70,16
SE9,0.018706265626359700,0.05280780644038060,3,88,53,65
EC2,0.04019376030666910,0.28835402197923800,3,66,73,81
BR2,0.030253820686990200,0.028888927755304800,3,39,107,24
RM1,0.0021876279961203400,0.0068274176192110000,3,124,69,127
SE19,0.05045945432244520,0.035842435151258700,2,52,105,
DA7,0.028791098917826100,0.2010490184063480,2,71,28,
RM6,0.0028783999499309300,0.141265854282754,3,65,103,16
SW8,0.03304034410924240,0.08382769272227940,3,26,77,25
N14,0.08895994124259230,0.28691974004031600,3,30,47,65
IG9,0.012109173180694400,0.2031530065322390,2,22,30,
WC1,0.01874892104852170,0.06749204625634510,3,40,19,47
UB9,0.031999784585035400,0.30361629636212400,2,74,36,
N22,0.06539742099933810,0.10647984614422000,2,113,102,
RM14,0.09110759967105920,0.0357771861222896,2,67,89,
RM13,0.03691670280681780,0.08731279394856650,3,118,20,65
CR4,0.01682723840218340,0.03554061746768710,3,61,63,128
TW8,0.025356776629957700,0.13595733567649600,2,65,69,
SE28,0.026635015578488900,0.018031768030836000,3,111,21,16
E18,0.012137323734860900,0.2356429358532120,2,98,75,
TW5,0.0061956128606963800,0.21658732729142000,3,103,18,36
E12,0.0048475008973015400,0.009469134644376230,3,66,29,49
SE22,0.0519037604395021,0.06939013857517850,2,111,124,
TW2,0.024004602130193100,0.05900460513654040,3,75,40.0,42.0
SE25,0.01150937790431880,0.07108511547244700,3,18,66.0,90.0
SW10,0.00543645560301876,0.18745993563924100,3,38,39.0,26.0
SW17,0.09460608464909430,0.27834335702006100,3,84,30.0,23.0
EN4,0.0001690893658124170,0.42739516552602800,3,105,68.0,28.0
EN3EN8,0.0010415882915800700,0.0011069327219724300,3,100,35.0,77.0
UB3,0.007571790127774940,0.002583043670418560,3,63,18.0,16.0
W11,0.09857380639426690,0.0029824225709619500,3,21,35.0,39.0
IG3,0.008819195397814220,0.04696849185180400,2,40,73.0,
SW2,0.04956398585083450,0.04142984762060020,3,19,52.0,75.0
N19,0.09681879526989080,0.06831694917540760,2,105,66.0,
SW5,0.04063791077270320,0.0958796430735147,3,16,70.0,22.0
N5,0.09171639801393530,0.02196432011137340,3,30,74.0,59.0
N2,0.05006952653776720,0.2581397259130390,3,55,37.0,30.0
NW1,0.05695744270163900,0.10295736123522500,3,96,37.0,71.0
