Date,Predicted_Price,rmse,mae,borough
2022-01-31,800590.06,154367.39723127906,82011.03948757538,SE21
2022-02-28,794626.75,154367.39723127906,82011.03948757538,SE21
2022-03-31,794524.8,154367.39723127906,82011.03948757538,SE21
2022-04-30,794524.8,154367.39723127906,82011.03948757538,SE21
2022-05-31,777059.8,154367.39723127906,82011.03948757538,SE21
2022-06-30,789459.5,154367.39723127906,82011.03948757538,SE21
2022-07-31,786966.8,154367.39723127906,82011.03948757538,SE21
2022-08-31,783768.25,154367.39723127906,82011.03948757538,SE21
2022-09-30,784596.25,154367.39723127906,82011.03948757538,SE21
2022-10-31,783853.8,154367.39723127906,82011.03948757538,SE21
2022-11-30,767367.75,154367.39723127906,82011.03948757538,SE21
2022-12-31,771935.8,154367.39723127906,82011.03948757538,SE21
2022-01-31,1048589.8,281176.913348577,119661.85080888214,NW11
2022-02-28,1052568.9,281176.913348577,119661.85080888214,NW11
2022-03-31,1061179.1,281176.913348577,119661.85080888214,NW11
2022-04-30,1035662.2,281176.913348577,119661.85080888214,NW11
2022-05-31,1052568.9,281176.913348577,119661.85080888214,NW11
2022-06-30,1066749.6,281176.913348577,119661.85080888214,NW11
2022-07-31,1061179.1,281176.913348577,119661.85080888214,NW11
2022-08-31,1066749.6,281176.913348577,119661.85080888214,NW11
2022-09-30,1030802.5,281176.913348577,119661.85080888214,NW11
2022-10-31,1042228.5,281176.913348577,119661.85080888214,NW11
2022-11-30,1038442.0,281176.913348577,119661.85080888214,NW11
2022-12-31,1040070.56,281176.913348577,119661.85080888214,NW11
2022-01-31,512937.28,46705.656339281246,31075.950472304576,SE7
2022-02-28,512937.28,46705.656339281246,31075.950472304576,SE7
2022-03-31,512937.28,46705.656339281246,31075.950472304576,SE7
2022-04-30,512937.28,46705.656339281246,31075.950472304576,SE7
2022-05-31,512937.28,46705.656339281246,31075.950472304576,SE7
2022-06-30,512937.28,46705.656339281246,31075.950472304576,SE7
2022-07-31,512937.28,46705.656339281246,31075.950472304576,SE7
2022-08-31,512937.28,46705.656339281246,31075.950472304576,SE7
2022-09-30,518285.9,46705.656339281246,31075.950472304576,SE7
2022-10-31,518285.9,46705.656339281246,31075.950472304576,SE7
2022-11-30,521329.47,46705.656339281246,31075.950472304576,SE7
2022-12-31,521329.47,46705.656339281246,31075.950472304576,SE7
2022-01-31,488089.62,75155.5025092332,35005.17309362329,SE19
2022-02-28,495785.97,75155.5025092332,35005.17309362329,SE19
2022-03-31,495399.12,75155.5025092332,35005.17309362329,SE19
2022-04-30,488433.6,75155.5025092332,35005.17309362329,SE19
2022-05-31,490991.53,75155.5025092332,35005.17309362329,SE19
2022-06-30,494271.7,75155.5025092332,35005.17309362329,SE19
2022-07-31,486370.06,75155.5025092332,35005.17309362329,SE19
2022-08-31,490991.53,75155.5025092332,35005.17309362329,SE19
2022-09-30,493640.16,75155.5025092332,35005.17309362329,SE19
2022-10-31,484482.06,75155.5025092332,35005.17309362329,SE19
2022-11-30,494013.8,75155.5025092332,35005.17309362329,SE19
2022-12-31,489898.28,75155.5025092332,35005.17309362329,SE19
2022-01-31,412294.2,34289.4556924573,20825.990618258627,SE2
2022-02-28,409965.56,34289.4556924573,20825.990618258627,SE2
2022-03-31,414338.88,34289.4556924573,20825.990618258627,SE2
2022-04-30,417027.78,34289.4556924573,20825.990618258627,SE2
2022-05-31,417469.12,34289.4556924573,20825.990618258627,SE2
2022-06-30,419786.88,34289.4556924573,20825.990618258627,SE2
2022-07-31,421084.28,34289.4556924573,20825.990618258627,SE2
2022-08-31,422184.72,34289.4556924573,20825.990618258627,SE2
2022-09-30,418972.28,34289.4556924573,20825.990618258627,SE2
2022-10-31,417612.06,34289.4556924573,20825.990618258627,SE2
2022-11-30,416774.44,34289.4556924573,20825.990618258627,SE2
2022-12-31,415813.12,34289.4556924573,20825.990618258627,SE2
2022-01-31,752890.7,106623.56063383276,64237.563996274366,SE24
2022-02-28,742233.06,106623.56063383276,64237.563996274366,SE24
2022-03-31,749727.0,106623.56063383276,64237.563996274366,SE24
2022-04-30,742233.06,106623.56063383276,64237.563996274366,SE24
