Borough,learning_rate,max_depth,n_estimators
E6,0.2,5.0,500.0
E1,0.3,5.0,500.0
IG8,0.2,5.0,500.0
N15,0.2,5.0,500.0
SW9,0.3,5.0,500.0
N12,0.2,5.0,500.0
KT6,0.2,5.0,500.0
W7,0.2,5.0,500.0
KT1,0.3,5.0,500.0
N9,0.2,5.0,500.0
DA17,0.2,5.0,500.0
DA6,0.3,3.0,500.0
RM7,0.3,5.0,500.0
BR4,0.2,5.0,500.0
SE18,0.2,5.0,500.0
EC4,0.05,3.0,200.0
DA1,0.5,3.0,500.0
BR3,0.3,5.0,500.0
SE8,0.2,5.0,500.0
EC3,0.5,3.0,100.0
E15E20,0.2,5.0,500.0
TW9,0.2,5.0,500.0
CR5,0.2,5.0,500.0
SM6,0.2,5.0,500.0
RM12,0.2,5.0,500.0
CR2,0.3,5.0,500.0
SM1,0.3,5.0,500.0
UB8,0.2,5.0,500.0
DA16,0.2,5.0,500.0
N8,0.2,5.0,500.0
W6,0.2,5.0,500.0
W1,0.2,3.0,500.0
SE9,0.2,5.0,500.0
EC2,0.2,3.0,500.0
BR2,0.2,5.0,500.0
RM1,0.2,5.0,500.0
SE19,0.2,5.0,500.0
DA7,0.2,5.0,500.0
RM6,0.2,5.0,500.0
E7,0.2,5.0,500.0
N13,0.2,5.0,500.0
SW8,0.2,5.0,500.0
N14,0.2,5.0,500.0
IG9,0.05,3.0,300.0
WC1,0.3,5.0,500.0
UB9,0.3,3.0,500.0
N22,0.2,5.0,500.0
RM14,0.2,5.0,500.0
RM13,0.2,5.0,500.0
CR4,0.2,5.0,500.0
TW8,0.3,5.0,500.0
SE28,0.2,5.0,500.0
E18,0.2,5.0,500.0
TW5,0.2,5.0,500.0
E12,0.2,5.0,500.0
SE22,0.2,5.0,500.0
TW2,0.2,5.0,500.0
SE25,0.2,5.0,500.0
SW10,0.5,3.0,500.0
NW11,0.3,5.0,500.0
SW17,0.2,5.0,500.0
UB4,0.2,5.0,500.0
EN4,0.2,5.0,500.0
EN3EN8,0.2,5.0,500.0
UB3,0.2,5.0,500.0
W11,0.2,3.0,500.0
IG3,0.2,5.0,500.0
SW2,0.2,5.0,500.0
N19,0.2,5.0,500.0
SW5,0.2,5.0,500.0
N5,0.2,5.0,500.0
N2,0.3,5.0,400.0
NW1,0.1,5.0,500.0
HA6,0.1,5.0,500.0
TW11,0.3,5.0,500.0
SE13,0.2,5.0,500.0
SE4,0.3,5.0,500.0
NW6,0.2,5.0,500.0
HA1,0.2,5.0,500.0
SE3,0.2,5.0,500.0
SE14,0.2,5.0,500.0
SW16,0.3,5.0,500.0
NW10,0.2,5.0,500.0
SW11,0.2,5.0,500.0
UB2,0.2,5.0,500.0
EN5,0.3,5.0,500.0
CR8,0.2,5.0,500.0
UB5,0.2,5.0,500.0
EN2,0.2,5.0,500.0
SE24,0.2,5.0,500.0
E14,0.2,7.0,500.0
TW3,0.2,5.0,500.0
SE23,0.3,5.0,500.0
E13,0.2,5.0,500.0
TW4,0.3,5.0,500.0
N3,0.2,5.0,500.0
N4,0.2,5.0,500.0
SE15,0.2,5.0,500.0
SE2,0.2,5.0,500.0
NW7,0.5,3.0,500.0
HA0,0.2,5.0,500.0
SE5,0.3,5.0,500.0
SE12,0.2,5.0,500.0
TW10,0.1,5.0,500.0
HA7,0.1,5.0,500.0
W10,0.2,7.0,500.0
SW20,0.2,5.0,500.0
SW4,0.2,5.0,500.0
N18,0.2,5.0,500.0
IG5,0.3,3.0,500.0
SW3,0.2,5.0,500.0
IG2,0.3,3.0,500.0
UB7,0.2,5.0,500.0
SW13,0.2,5.0,500.0
SW14,0.2,5.0,500.0
E11,0.2,5.0,500.0
SE21,0.3,3.0,500.0
E16,0.2,5.0,500.0
TW1,0.3,5.0,500.0
SE26,0.2,5.0,500.0
NW2,0.2,5.0,500.0
TW12,0.2,5.0,500.0
HA5,0.2,5.0,500.0
SE10,0.3,5.0,500.0
SE7,0.2,5.0,500.0
